地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,売場面積（m2）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13110,1311000000,目黒区,,,目黒区,1502,1068,434,10754,231328,131072,624,330,287,169,51,20,14,7
5,13110,1311000200,目黒区,目黒区青葉台,,目黒区青葉台,39,33,6,407,24046,5867,13,6,10,5,3,-,1,1
6,13110,1311000201,目黒区,目黒区青葉台,1丁目,目黒区青葉台1丁目,17,15,2,73,1232,1198,7,4,4,2,-,-,-,-
6,13110,1311000202,目黒区,目黒区青葉台,2丁目,目黒区青葉台2丁目,8,6,2,167,5712,3766,1,2,2,2,-,-,-,1
6,13110,1311000203,目黒区,目黒区青葉台,3丁目,目黒区青葉台3丁目,10,9,1,137,16198,800,3,-,3,1,2,-,1,-
6,13110,1311000204,目黒区,目黒区青葉台,4丁目,目黒区青葉台4丁目,4,3,1,30,903,103,2,-,1,-,1,-,-,-
5,13110,1311002100,目黒区,目黒区大岡山,,目黒区大岡山,8,4,4,101,2502,1178,5,2,-,-,-,-,1,-
6,13110,1311002101,目黒区,目黒区大岡山,1丁目,目黒区大岡山1丁目,7,3,4,14,X,X,5,2,-,-,-,-,-,-
6,13110,1311002102,目黒区,目黒区大岡山,2丁目,目黒区大岡山2丁目,1,1,-,87,X,X,-,-,-,-,-,-,1,-
5,13110,1311000400,目黒区,目黒区大橋,,目黒区大橋,15,13,2,245,4928,3615,2,3,6,-,3,-,-,1
6,13110,1311000401,目黒区,目黒区大橋,1丁目,目黒区大橋1丁目,3,3,-,129,1685,1381,1,-,1,-,-,-,-,1
6,13110,1311000402,目黒区,目黒区大橋,2丁目,目黒区大橋2丁目,12,10,2,116,3243,2234,1,3,5,-,3,-,-,-
5,13110,1311002500,目黒区,目黒区柿の木坂,,目黒区柿の木坂,26,19,7,135,2322,1280,14,4,3,4,1,-,-,-
