地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,売場面積（m2）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13111,1311100000,大田区,,,大田区,3428,2232,1196,26023,583100,321350,1472,738,615,354,138,49,36,26
5,13111,1311101700,大田区,大田区池上,,大田区池上,175,103,72,1097,25679,11749,86,34,26,18,6,2,3,-
6,13111,1311101701,大田区,大田区池上,1丁目,大田区池上1丁目,12,10,2,64,809,291,5,3,2,2,-,-,-,-
6,13111,1311101702,大田区,大田区池上,2丁目,大田区池上2丁目,10,6,4,76,2262,333,4,2,2,1,-,1,-,-
6,13111,1311101703,大田区,大田区池上,3丁目,大田区池上3丁目,38,19,19,317,13001,4326,21,5,4,5,1,-,2,-
6,13111,1311101704,大田区,大田区池上,4丁目,大田区池上4丁目,35,14,21,105,664,1512,19,10,5,1,-,-,-,-
6,13111,1311101705,大田区,大田区池上,5丁目,大田区池上5丁目,9,6,3,45,329,397,5,2,1,-,1,-,-,-
6,13111,1311101706,大田区,大田区池上,6丁目,大田区池上6丁目,50,34,16,375,5729,3881,23,8,8,6,3,1,1,-
6,13111,1311101707,大田区,大田区池上,7丁目,大田区池上7丁目,17,12,5,82,1503,705,7,4,3,3,-,-,-,-
6,13111,1311101708,大田区,大田区池上,8丁目,大田区池上8丁目,4,2,2,33,1382,304,2,-,1,-,1,-,-,-
5,13111,1311103200,大田区,大田区石川町,,大田区石川町,7,5,2,49,672,339,1,1,4,1,-,-,-,-
6,13111,1311103201,大田区,大田区石川町,1丁目,大田区石川町1丁目,3,1,2,13,117,45,1,1,1,-,-,-,-,-
6,13111,1311103202,大田区,大田区石川町,2丁目,大田区石川町2丁目,4,4,-,36,555,294,-,-,3,1,-,-,-,-
5,13111,1311102600,大田区,大田区鵜の木,,大田区鵜の木,59,33,26,316,6451,3662,28,14,9,6,1,1,-,-
6,13111,1311102601,大田区,大田区鵜の木,1丁目,大田区鵜の木1丁目,2,1,1,5,X,X,1,1,-,-,-,-,-,-
6,13111,1311102602,大田区,大田区鵜の木,2丁目,大田区鵜の木2丁目,45,25,20,249,4453,3256,20,11,8,5,-,1,-,-
6,13111,1311102603,大田区,大田区鵜の木,3丁目,大田区鵜の木3丁目,12,7,5,62,X,X,7,2,1,1,1,-,-,-
5,13111,1311100700,大田区,大田区大森北,,大田区大森北,232,178,54,2062,40514,34326,75,60,60,21,11,2,1,2
6,13111,1311100701,大田区,大田区大森北,1丁目,大田区大森北1丁目,119,108,11,855,18145,11865,29,33,39,12,3,1,1,1
6,13111,1311100702,大田区,大田区大森北,2丁目,大田区大森北2丁目,25,22,3,715,13869,15861,5,6,10,1,2,-,-,1
6,13111,1311100703,大田区,大田区大森北,3丁目,大田区大森北3丁目,21,7,14,77,721,942,9,8,2,2,-,-,-,-
6,13111,1311100704,大田区,大田区大森北,4丁目,大田区大森北4丁目,12,7,5,79,1237,1263,4,4,2,-,2,-,-,-
6,13111,1311100705,大田区,大田区大森北,5丁目,大田区大森北5丁目,14,10,4,98,2774,1764,6,2,4,1,-,1,-,-
6,13111,1311100706,大田区,大田区大森北,6丁目,大田区大森北6丁目,41,24,17,238,3767,2631,22,7,3,5,4,-,-,-
5,13111,1311100100,大田区,大田区大森中,,大田区大森中,47,25,22,428,7125,4475,20,8,10,6,2,-,-,1
6,13111,1311100101,大田区,大田区大森中,1丁目,大田区大森中1丁目,12,8,4,263,4798,2718,4,1,3,2,1,-,-,1
6,13111,1311100102,大田区,大田区大森中,2丁目,大田区大森中2丁目,26,13,13,122,1720,1326,11,6,5,4,-,-,-,-
6,13111,1311100103,大田区,大田区大森中,3丁目,大田区大森中3丁目,9,4,5,43,608,431,5,1,2,-,1,-,-,-
5,13111,1311100500,大田区,大田区大森西,,大田区大森西,121,85,36,862,16467,12879,46,28,20,17,7,2,1,-
6,13111,1311100501,大田区,大田区大森西,1丁目,大田区大森西1丁目,11,8,3,143,2422,2553,4,2,2,2,-,-,1,-
6,13111,1311100502,大田区,大田区大森西,2丁目,大田区大森西2丁目,10,5,5,63,464,368,3,4,1,1,1,-,-,-
6,13111,1311100503,大田区,大田区大森西,3丁目,大田区大森西3丁目,24,18,6,141,2505,4194,9,6,6,2,-,1,-,-
6,13111,1311100504,大田区,大田区大森西,4丁目,大田区大森西4丁目,6,4,2,35,562,825,4,-,-,2,-,-,-,-
6,13111,1311100505,大田区,大田区大森西,5丁目,大田区大森西5丁目,26,20,6,186,3153,2357,9,5,5,3,4,-,-,-
6,13111,1311100506,大田区,大田区大森西,6丁目,大田区大森西6丁目,37,24,13,236,2669,2227,17,8,5,4,2,1,-,-
6,13111,1311100507,大田区,大田区大森西,7丁目,大田区大森西7丁目,7,6,1,58,4692,355,-,3,1,3,-,-,-,-
5,13111,1311100200,大田区,大田区大森東,,大田区大森東,76,38,38,276,3715,3617,48,13,9,4,2,-,-,-
6,13111,1311100201,大田区,大田区大森東,1丁目,大田区大森東1丁目,25,15,10,83,1190,750,18,3,2,2,-,-,-,-
6,13111,1311100202,大田区,大田区大森東,2丁目,大田区大森東2丁目,12,7,5,31,463,963,8,1,3,-,-,-,-,-
6,13111,1311100203,大田区,大田区大森東,3丁目,大田区大森東3丁目,6,3,3,47,435,198,3,-,-,2,1,-,-,-
6,13111,1311100204,大田区,大田区大森東,4丁目,大田区大森東4丁目,22,8,14,58,544,844,12,8,2,-,-,-,-,-
6,13111,1311100205,大田区,大田区大森東,5丁目,大田区大森東5丁目,11,5,6,57,1082,862,7,1,2,-,1,-,-,-
5,13111,1311100400,大田区,大田区大森本町,,大田区大森本町,23,14,9,133,3461,825,12,4,3,3,-,1,-,-
6,13111,1311100401,大田区,大田区大森本町,1丁目,大田区大森本町1丁目,6,5,1,66,1994,217,1,2,1,1,-,1,-,-
6,13111,1311100402,大田区,大田区大森本町,2丁目,大田区大森本町2丁目,17,9,8,67,1467,608,11,2,2,2,-,-,-,-
