地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13113,1311300000,渋谷区,,,渋谷区,1332,1306,26,30624,3659823,208,266,349,246,83,70,53,57
5,13113,1311302100,渋谷区,渋谷区上原,,渋谷区上原,14,14,-,104,6729,2,5,3,3,-,1,-,-
6,13113,1311302101,渋谷区,渋谷区上原,1丁目,渋谷区上原1丁目,3,3,-,11,406,1,1,1,-,-,-,-,-
6,13113,1311302102,渋谷区,渋谷区上原,2丁目,渋谷区上原2丁目,5,5,-,24,613,1,2,1,1,-,-,-,-
6,13113,1311302103,渋谷区,渋谷区上原,3丁目,渋谷区上原3丁目,6,6,-,69,5710,-,2,1,2,-,1,-,-
5,13113,1311300900,渋谷区,渋谷区鶯谷町,,渋谷区鶯谷町,6,6,-,25,1125,1,3,2,-,-,-,-,-
5,13113,1311301800,渋谷区,渋谷区宇田川町,,渋谷区宇田川町,16,16,-,444,105589,1,6,4,3,1,-,-,1
5,13113,1311300100,渋谷区,渋谷区恵比寿,,渋谷区恵比寿,75,72,3,2227,251043,9,11,26,8,7,2,7,5
6,13113,1311300101,渋谷区,渋谷区恵比寿,1丁目,渋谷区恵比寿1丁目,37,35,2,552,42457,2,7,13,7,5,-,2,1
6,13113,1311300102,渋谷区,渋谷区恵比寿,2丁目,渋谷区恵比寿2丁目,11,11,-,276,24489,-,1,7,-,-,1,1,1
6,13113,1311300103,渋谷区,渋谷区恵比寿,3丁目,渋谷区恵比寿3丁目,8,7,1,62,2336,3,2,2,-,-,1,-,-
6,13113,1311300104,渋谷区,渋谷区恵比寿,4丁目,渋谷区恵比寿4丁目,19,19,-,1337,181760,4,1,4,1,2,-,4,3
5,13113,1311300500,渋谷区,渋谷区恵比寿西,,渋谷区恵比寿西,41,41,-,633,61727,5,9,10,10,4,1,1,1
6,13113,1311300501,渋谷区,渋谷区恵比寿西,1丁目,渋谷区恵比寿西1丁目,21,21,-,377,39181,4,7,3,4,1,-,1,1
6,13113,1311300502,渋谷区,渋谷区恵比寿西,2丁目,渋谷区恵比寿西2丁目,20,20,-,256,22546,1,2,7,6,3,1,-,-
5,13113,1311300400,渋谷区,渋谷区恵比寿南,,渋谷区恵比寿南,52,52,-,976,75258,7,7,12,16,1,4,3,2
