地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,売場面積（m2）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13224,1322400000,多摩市,,,多摩市,591,511,80,7689,148041,161815,128,141,133,98,42,29,12,8
5,13224,1322402200,多摩市,多摩市愛宕,,多摩市愛宕,12,11,1,173,2328,2081,2,4,3,1,-,1,1,-
6,13224,1322402201,多摩市,多摩市愛宕,1丁目,多摩市愛宕1丁目,1,1,-,32,X,X,-,-,-,-,-,1,-,-
6,13224,1322402202,多摩市,多摩市愛宕,2丁目,多摩市愛宕2丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13224,1322402203,多摩市,多摩市愛宕,3丁目,多摩市愛宕3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13224,1322402204,多摩市,多摩市愛宕,4丁目,多摩市愛宕4丁目,11,10,1,141,X,X,2,4,3,1,-,-,1,-
5,13224,1322401000,多摩市,多摩市一ノ宮,,多摩市一ノ宮,23,15,8,148,1747,2214,10,6,3,3,-,1,-,-
6,13224,1322401001,多摩市,多摩市一ノ宮,1丁目,多摩市一ノ宮1丁目,8,6,2,93,1249,1552,2,2,1,2,-,1,-,-
6,13224,1322401002,多摩市,多摩市一ノ宮,2丁目,多摩市一ノ宮2丁目,6,4,2,31,X,X,3,1,1,1,-,-,-,-
6,13224,1322401003,多摩市,多摩市一ノ宮,3丁目,多摩市一ノ宮3丁目,7,4,3,21,193,214,3,3,1,-,-,-,-,-
6,13224,1322401004,多摩市,多摩市一ノ宮,4丁目,多摩市一ノ宮4丁目,2,1,1,3,X,X,2,-,-,-,-,-,-,-
6,13224,1322401091,多摩市,多摩市一ノ宮,（1～4丁目を除く）,多摩市一ノ宮（1～4丁目を除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13224,1322401700,多摩市,多摩市落合,,多摩市落合,151,142,9,2650,39983,62993,22,31,43,31,8,9,5,2
6,13224,1322401701,多摩市,多摩市落合,1丁目,多摩市落合1丁目,118,114,4,2172,34015,50463,17,26,31,26,7,7,2,2
6,13224,1322401702,多摩市,多摩市落合,2丁目,多摩市落合2丁目,21,19,2,229,4187,10893,4,3,10,2,-,1,1,-
6,13224,1322401703,多摩市,多摩市落合,3丁目,多摩市落合3丁目,5,4,1,111,1065,786,-,1,1,1,1,-,1,-
6,13224,1322401704,多摩市,多摩市落合,4丁目,多摩市落合4丁目,3,2,1,18,135,177,1,-,1,1,-,-,-,-
6,13224,1322401705,多摩市,多摩市落合,5丁目,多摩市落合5丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13224,1322401706,多摩市,多摩市落合,6丁目,多摩市落合6丁目,4,3,1,120,581,674,-,1,-,1,-,1,1,-
5,13224,1322400800,多摩市,多摩市落川,,多摩市落川,6,4,2,16,202,286,2,3,1,-,-,-,-,-
5,13224,1322401500,多摩市,多摩市貝取,,多摩市貝取,20,18,2,409,5284,7723,7,2,1,5,1,1,2,1
6,13224,1322401501,多摩市,多摩市貝取,1丁目,多摩市貝取1丁目,10,9,1,149,2121,3883,3,2,1,1,1,1,1,-
6,13224,1322401502,多摩市,多摩市貝取,2丁目,多摩市貝取2丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13224,1322401503,多摩市,多摩市貝取,3丁目,多摩市貝取3丁目,6,6,-,159,2193,3613,1,-,-,4,-,-,-,1
6,13224,1322401504,多摩市,多摩市貝取,4丁目,多摩市貝取4丁目,1,1,-,2,X,X,1,-,-,-,-,-,-,-
6,13224,1322401505,多摩市,多摩市貝取,5丁目,多摩市貝取5丁目,1,1,-,96,X,-,-,-,-,-,-,-,1,-
6,13224,1322401591,多摩市,多摩市貝取,（1～5丁目を除く）,多摩市貝取（1～5丁目を除く）,2,1,1,3,X,X,2,-,-,-,-,-,-,-
5,13224,1322400400,多摩市,多摩市乞田,,多摩市乞田,16,11,5,142,2197,1529,1,7,3,3,1,1,-,-
5,13224,1322401100,多摩市,多摩市桜ヶ丘,,多摩市桜ヶ丘,6,1,5,19,168,231,3,2,1,-,-,-,-,-
6,13224,1322401101,多摩市,多摩市桜ヶ丘,1丁目,多摩市桜ヶ丘1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13224,1322401102,多摩市,多摩市桜ヶ丘,2丁目,多摩市桜ヶ丘2丁目,4,1,3,13,X,X,2,1,1,-,-,-,-,-
6,13224,1322401103,多摩市,多摩市桜ヶ丘,3丁目,多摩市桜ヶ丘3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13224,1322401104,多摩市,多摩市桜ヶ丘,4丁目,多摩市桜ヶ丘4丁目,2,-,2,6,X,X,1,1,-,-,-,-,-,-
5,13224,1322401300,多摩市,多摩市諏訪,,多摩市諏訪,12,11,1,127,7067,538,5,3,1,-,1,2,-,-
6,13224,1322401301,多摩市,多摩市諏訪,1丁目,多摩市諏訪1丁目,4,3,1,11,126,191,2,1,1,-,-,-,-,-
