地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13106,1310600000,台東区,,,台東区,3325,3104,221,40572,3933375,801,746,856,521,161,120,78,42
5,13106,1310600200,台東区,台東区秋葉原,,台東区秋葉原,2,2,-,46,X,-,-,-,1,-,1,-,-
5,13106,1310602800,台東区,台東区浅草,,台東区浅草,214,191,23,2232,101361,63,46,49,33,7,7,8,1
6,13106,1310602801,台東区,台東区浅草,1丁目,台東区浅草1丁目,16,14,2,99,3439,6,3,3,4,-,-,-,-
6,13106,1310602802,台東区,台東区浅草,2丁目,台東区浅草2丁目,5,5,-,26,671,2,1,1,1,-,-,-,-
6,13106,1310602803,台東区,台東区浅草,3丁目,台東区浅草3丁目,21,19,2,188,10441,6,4,6,3,1,-,1,-
6,13106,1310602804,台東区,台東区浅草,4丁目,台東区浅草4丁目,15,12,3,78,3762,4,6,3,2,-,-,-,-
6,13106,1310602805,台東区,台東区浅草,5丁目,台東区浅草5丁目,51,41,10,469,22151,20,8,13,3,2,4,1,-
6,13106,1310602806,台東区,台東区浅草,6丁目,台東区浅草6丁目,80,74,6,1047,45148,21,21,16,13,1,1,6,1
6,13106,1310602807,台東区,台東区浅草,7丁目,台東区浅草7丁目,26,26,-,325,15749,4,3,7,7,3,2,-,-
5,13106,1310601600,台東区,台東区浅草橋,,台東区浅草橋,357,341,16,4690,332590,86,65,99,54,22,17,6,8
6,13106,1310601601,台東区,台東区浅草橋,1丁目,台東区浅草橋1丁目,78,77,1,957,85697,17,11,26,15,3,3,1,2
6,13106,1310601602,台東区,台東区浅草橋,2丁目,台東区浅草橋2丁目,70,66,4,813,47965,21,13,15,10,5,4,1,1
6,13106,1310601603,台東区,台東区浅草橋,3丁目,台東区浅草橋3丁目,96,91,5,1065,76646,21,24,23,13,8,5,-,2
6,13106,1310601604,台東区,台東区浅草橋,4丁目,台東区浅草橋4丁目,62,60,2,1103,73046,12,9,22,9,4,2,3,1
6,13106,1310601605,台東区,台東区浅草橋,5丁目,台東区浅草橋5丁目,51,47,4,752,49236,15,8,13,7,2,3,1,2
5,13106,1310600500,台東区,台東区池之端,,台東区池之端,25,25,-,679,61799,4,2,6,4,2,4,1,2
