地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13206,1320600000,府中市,,,府中市,321,289,32,3316,270283,80,77,83,46,16,9,6,4
5,13206,1320600200,府中市,府中市朝日町,,府中市朝日町,5,5,-,17,515,2,2,1,-,-,-,-,-
6,13206,1320600201,府中市,府中市朝日町,1丁目,府中市朝日町1丁目,2,2,-,7,X,-,2,-,-,-,-,-,-
6,13206,1320600202,府中市,府中市朝日町,2丁目,府中市朝日町2丁目,3,3,-,10,X,2,-,1,-,-,-,-,-
6,13206,1320600203,府中市,府中市朝日町,3丁目,府中市朝日町3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13206,1320600500,府中市,府中市押立町,,府中市押立町,4,4,-,16,994,2,-,2,-,-,-,-,-
6,13206,1320600501,府中市,府中市押立町,1丁目,府中市押立町1丁目,1,1,-,7,X,-,-,1,-,-,-,-,-
6,13206,1320600502,府中市,府中市押立町,2丁目,府中市押立町2丁目,1,1,-,2,X,1,-,-,-,-,-,-,-
6,13206,1320600503,府中市,府中市押立町,3丁目,府中市押立町3丁目,2,2,-,7,X,1,-,1,-,-,-,-,-
6,13206,1320600504,府中市,府中市押立町,4丁目,府中市押立町4丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13206,1320600505,府中市,府中市押立町,5丁目,府中市押立町5丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13206,1320602200,府中市,府中市片町,,府中市片町,2,1,1,9,X,-,1,1,-,-,-,-,-
6,13206,1320602201,府中市,府中市片町,1丁目,府中市片町1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13206,1320602202,府中市,府中市片町,2丁目,府中市片町2丁目,2,1,1,9,X,-,1,1,-,-,-,-,-
6,13206,1320602203,府中市,府中市片町,3丁目,府中市片町3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13206,1320602900,府中市,府中市北山町,,府中市北山町,3,3,-,7,106,2,1,-,-,-,-,-,-
6,13206,1320602901,府中市,府中市北山町,1丁目,府中市北山町1丁目,1,1,-,3,X,-,1,-,-,-,-,-,-
6,13206,1320602902,府中市,府中市北山町,2丁目,府中市北山町2丁目,2,2,-,4,X,2,-,-,-,-,-,-,-
6,13206,1320602903,府中市,府中市北山町,3丁目,府中市北山町3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13206,1320602904,府中市,府中市北山町,4丁目,府中市北山町4丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13206,1320602400,府中市,府中市寿町,,府中市寿町,6,6,-,22,1738,3,1,2,-,-,-,-,-
6,13206,1320602401,府中市,府中市寿町,1丁目,府中市寿町1丁目,4,4,-,16,X,2,-,2,-,-,-,-,-
6,13206,1320602402,府中市,府中市寿町,2丁目,府中市寿町2丁目,2,2,-,6,X,1,1,-,-,-,-,-,-
6,13206,1320602403,府中市,府中市寿町,3丁目,府中市寿町3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
