地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13104,1310400000,新宿区,,,新宿区,1238,1207,31,30989,3884099,231,216,287,232,85,78,55,54
5,13104,1310401200,新宿区,新宿区愛住町,,新宿区愛住町,7,7,-,121,7401,1,1,2,-,1,2,-,-
5,13104,1310406000,新宿区,新宿区赤城下町,,新宿区赤城下町,4,3,1,21,2703,3,-,-,1,-,-,-,-
5,13104,1310403700,新宿区,新宿区赤城元町,,新宿区赤城元町,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13104,1310403300,新宿区,新宿区揚場町,,新宿区揚場町,10,10,-,194,131572,-,1,4,2,1,1,1,-
5,13104,1310401000,新宿区,新宿区荒木町,,新宿区荒木町,14,14,-,251,16990,-,4,4,4,-,-,1,1
5,13104,1310402300,新宿区,新宿区市谷加賀町,,新宿区市谷加賀町,2,2,-,21,X,-,-,1,1,-,-,-,-
6,13104,1310402301,新宿区,新宿区市谷加賀町,1丁目,新宿区市谷加賀町1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13104,1310402302,新宿区,新宿区市谷加賀町,2丁目,新宿区市谷加賀町2丁目,2,2,-,21,X,-,-,1,1,-,-,-,-
5,13104,1310402400,新宿区,新宿区市谷甲良町,,新宿区市谷甲良町,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13104,1310402100,新宿区,新宿区市谷砂土原町,,新宿区市谷砂土原町,2,2,-,15,X,-,-,2,-,-,-,-,-
6,13104,1310402101,新宿区,新宿区市谷砂土原町,1丁目,新宿区市谷砂土原町1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13104,1310402102,新宿区,新宿区市谷砂土原町,2丁目,新宿区市谷砂土原町2丁目,2,2,-,15,X,-,-,2,-,-,-,-,-
6,13104,1310402103,新宿区,新宿区市谷砂土原町,3丁目,新宿区市谷砂土原町3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13104,1310402200,新宿区,新宿区市谷左内町,,新宿区市谷左内町,4,4,-,83,7421,-,-,1,2,-,1,-,-
5,13104,1310402700,新宿区,新宿区市谷鷹匠町,,新宿区市谷鷹匠町,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13104,1310401900,新宿区,新宿区市谷田町,,新宿区市谷田町,14,14,-,180,8719,3,1,1,5,4,-,-,-
6,13104,1310401901,新宿区,新宿区市谷田町,1丁目,新宿区市谷田町1丁目,2,2,-,16,X,1,-,-,1,-,-,-,-
6,13104,1310401902,新宿区,新宿区市谷田町,2丁目,新宿区市谷田町2丁目,8,8,-,86,6319,2,-,1,4,1,-,-,-
6,13104,1310401903,新宿区,新宿区市谷田町,3丁目,新宿区市谷田町3丁目,4,4,-,78,X,-,1,-,-,3,-,-,-
5,13104,1310407700,新宿区,新宿区市谷台町,,新宿区市谷台町,8,8,-,77,4174,-,1,2,5,-,-,-,-
5,13104,1310402600,新宿区,新宿区市谷長延寺町,,新宿区市谷長延寺町,1,1,-,2,X,1,-,-,-,-,-,-,-
5,13104,1310405900,新宿区,新宿区市谷仲之町,,新宿区市谷仲之町,4,4,-,74,2333,-,2,1,-,-,-,1,-
5,13104,1310402900,新宿区,新宿区市谷八幡町,,新宿区市谷八幡町,1,1,-,15,X,-,-,-,1,-,-,-,-
5,13104,1310402500,新宿区,新宿区市谷船河原町,,新宿区市谷船河原町,1,1,-,23,X,-,-,-,-,1,-,-,-
5,13104,1310402000,新宿区,新宿区市谷本村町,,新宿区市谷本村町,14,14,-,322,93217,3,1,1,3,1,2,3,-
5,13104,1310405700,新宿区,新宿区市谷薬王寺町,,新宿区市谷薬王寺町,8,6,2,30,631,3,1,4,-,-,-,-,-
5,13104,1310405800,新宿区,新宿区市谷柳町,,新宿区市谷柳町,2,2,-,32,X,1,-,-,-,-,1,-,-
5,13104,1310402800,新宿区,新宿区市谷山伏町,,新宿区市谷山伏町,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13104,1310405000,新宿区,新宿区岩戸町,,新宿区岩戸町,3,3,-,21,1596,-,1,1,1,-,-,-,-
5,13104,1310406200,新宿区,新宿区榎町,,新宿区榎町,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13104,1310408400,新宿区,新宿区大久保,,新宿区大久保,28,27,1,754,96257,7,6,5,4,2,2,-,2
6,13104,1310408401,新宿区,新宿区大久保,1丁目,新宿区大久保1丁目,7,6,1,55,X,3,2,1,-,-,1,-,-
6,13104,1310408402,新宿区,新宿区大久保,2丁目,新宿区大久保2丁目,19,19,-,695,90709,2,4,4,4,2,1,-,2
6,13104,1310408403,新宿区,新宿区大久保,3丁目,新宿区大久保3丁目,2,2,-,4,X,2,-,-,-,-,-,-,-
5,13104,1310407300,新宿区,新宿区改代町,,新宿区改代町,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13104,1310405600,新宿区,新宿区神楽河岸,,新宿区神楽河岸,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13104,1310403000,新宿区,新宿区神楽坂,,新宿区神楽坂,16,16,-,197,16353,3,5,2,2,1,3,-,-
6,13104,1310403001,新宿区,新宿区神楽坂,1丁目,新宿区神楽坂1丁目,2,2,-,14,X,1,-,-,1,-,-,-,-
6,13104,1310403002,新宿区,新宿区神楽坂,2丁目,新宿区神楽坂2丁目,5,5,-,78,11662,1,1,1,-,1,1,-,-
