地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,売場面積（m2）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13205,1320500000,青梅市,,,青梅市,675,403,272,5296,98144,128412,270,134,131,79,35,13,8,5
5,13205,1320502900,青梅市,青梅市今井,,青梅市今井,17,9,8,90,1139,1087,8,4,2,2,1,-,-,-
6,13205,1320502901,青梅市,青梅市今井,1丁目,青梅市今井1丁目,5,3,2,14,175,133,2,2,1,-,-,-,-,-
6,13205,1320502902,青梅市,青梅市今井,2丁目,青梅市今井2丁目,5,-,5,14,X,113,3,2,-,-,-,-,-,-
6,13205,1320502903,青梅市,青梅市今井,3丁目,青梅市今井3丁目,6,5,1,42,632,841,3,-,1,2,-,-,-,-
6,13205,1320502904,青梅市,青梅市今井,4丁目,青梅市今井4丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13205,1320502905,青梅市,青梅市今井,5丁目,青梅市今井5丁目,1,1,-,20,X,-,-,-,-,-,1,-,-,-
5,13205,1320502300,青梅市,青梅市今寺,,青梅市今寺,34,26,8,470,12353,14662,7,5,9,7,3,1,1,1
6,13205,1320502301,青梅市,青梅市今寺,1丁目,青梅市今寺1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13205,1320502302,青梅市,青梅市今寺,2丁目,青梅市今寺2丁目,2,1,1,8,X,X,1,-,1,-,-,-,-,-
6,13205,1320502303,青梅市,青梅市今寺,3丁目,青梅市今寺3丁目,7,4,3,49,545,754,3,2,-,1,1,-,-,-
6,13205,1320502304,青梅市,青梅市今寺,4丁目,青梅市今寺4丁目,6,4,2,42,X,X,1,1,1,3,-,-,-,-
6,13205,1320502305,青梅市,青梅市今寺,5丁目,青梅市今寺5丁目,19,17,2,371,10876,11748,2,2,7,3,2,1,1,1
5,13205,1320504000,青梅市,青梅市小曾木,,青梅市小曾木,7,1,6,18,160,254,3,4,-,-,-,-,-,-
6,13205,1320504001,青梅市,青梅市小曾木,1丁目,青梅市小曾木1丁目,1,-,1,4,X,X,-,1,-,-,-,-,-,-
6,13205,1320504002,青梅市,青梅市小曾木,2丁目,青梅市小曾木2丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13205,1320504003,青梅市,青梅市小曾木,3丁目,青梅市小曾木3丁目,4,-,4,8,42,X,3,1,-,-,-,-,-,-
6,13205,1320504004,青梅市,青梅市小曾木,4丁目,青梅市小曾木4丁目,1,1,-,3,X,X,-,1,-,-,-,-,-,-
6,13205,1320504005,青梅市,青梅市小曾木,5丁目,青梅市小曾木5丁目,1,-,1,3,X,-,-,1,-,-,-,-,-,-
5,13205,1320500400,青梅市,青梅市勝沼,,青梅市勝沼,19,10,9,57,590,1006,11,3,5,-,-,-,-,-
6,13205,1320500401,青梅市,青梅市勝沼,1丁目,青梅市勝沼1丁目,6,2,4,15,X,X,5,-,1,-,-,-,-,-
6,13205,1320500402,青梅市,青梅市勝沼,2丁目,青梅市勝沼2丁目,1,1,-,1,X,X,1,-,-,-,-,-,-,-
6,13205,1320500403,青梅市,青梅市勝沼,3丁目,青梅市勝沼3丁目,12,7,5,41,427,707,5,3,4,-,-,-,-,-
