地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,売場面積（m2）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13223,1322300000,武蔵村山市,,,武蔵村山市,418,309,109,3791,73226,86027,130,73,116,64,18,9,6,2
5,13223,1322300600,武蔵村山市,武蔵村山市伊奈平,,武蔵村山市伊奈平,29,26,3,520,7815,12929,6,3,7,6,5,-,1,1
6,13223,1322300601,武蔵村山市,武蔵村山市伊奈平,1丁目,武蔵村山市伊奈平1丁目,1,-,1,3,X,-,-,1,-,-,-,-,-,-
6,13223,1322300602,武蔵村山市,武蔵村山市伊奈平,2丁目,武蔵村山市伊奈平2丁目,4,4,-,134,2069,618,-,-,1,-,2,-,1,-
6,13223,1322300603,武蔵村山市,武蔵村山市伊奈平,3丁目,武蔵村山市伊奈平3丁目,11,10,1,224,3302,10006,4,2,2,2,-,-,-,1
6,13223,1322300604,武蔵村山市,武蔵村山市伊奈平,4丁目,武蔵村山市伊奈平4丁目,7,7,-,91,932,1624,1,-,2,2,2,-,-,-
6,13223,1322300605,武蔵村山市,武蔵村山市伊奈平,5丁目,武蔵村山市伊奈平5丁目,4,3,1,45,806,X,1,-,1,1,1,-,-,-
6,13223,1322300606,武蔵村山市,武蔵村山市伊奈平,6丁目,武蔵村山市伊奈平6丁目,2,2,-,23,X,X,-,-,1,1,-,-,-,-
5,13223,1322300500,武蔵村山市,武蔵村山市榎,,武蔵村山市榎,109,106,3,1400,32869,37505,8,19,50,20,5,5,1,1
6,13223,1322300501,武蔵村山市,武蔵村山市榎,1丁目,武蔵村山市榎1丁目,89,89,-,1216,28802,32274,4,13,49,13,4,4,1,1
6,13223,1322300502,武蔵村山市,武蔵村山市榎,2丁目,武蔵村山市榎2丁目,6,5,1,43,1343,224,1,3,-,2,-,-,-,-
6,13223,1322300503,武蔵村山市,武蔵村山市榎,3丁目,武蔵村山市榎3丁目,14,12,2,141,2724,5007,3,3,1,5,1,1,-,-
5,13223,1322300300,武蔵村山市,武蔵村山市大南,,武蔵村山市大南,39,22,17,301,3834,5005,18,6,7,5,1,1,1,-
