地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13123,1312300000,江戸川区,,,江戸川区,1057,931,126,8141,512542,324,278,241,123,44,30,14,3
5,13123,1312301100,江戸川区,江戸川区一之江,,江戸川区一之江,43,37,6,263,10801,12,19,9,1,1,-,1,-
6,13123,1312301101,江戸川区,江戸川区一之江,1丁目,江戸川区一之江1丁目,3,3,-,7,X,2,1,-,-,-,-,-,-
6,13123,1312301102,江戸川区,江戸川区一之江,2丁目,江戸川区一之江2丁目,2,2,-,16,X,-,-,2,-,-,-,-,-
6,13123,1312301103,江戸川区,江戸川区一之江,3丁目,江戸川区一之江3丁目,8,7,1,30,760,2,4,2,-,-,-,-,-
6,13123,1312301104,江戸川区,江戸川区一之江,4丁目,江戸川区一之江4丁目,5,5,-,26,972,-,2,3,-,-,-,-,-
6,13123,1312301105,江戸川区,江戸川区一之江,5丁目,江戸川区一之江5丁目,3,2,1,7,474,1,2,-,-,-,-,-,-
6,13123,1312301106,江戸川区,江戸川区一之江,6丁目,江戸川区一之江6丁目,7,6,1,40,1393,2,4,-,-,1,-,-,-
6,13123,1312301107,江戸川区,江戸川区一之江,7丁目,江戸川区一之江7丁目,11,9,2,45,2819,4,4,2,1,-,-,-,-
6,13123,1312301108,江戸川区,江戸川区一之江,8丁目,江戸川区一之江8丁目,4,3,1,92,3351,1,2,-,-,-,-,1,-
5,13123,1312301000,江戸川区,江戸川区一之江町,,江戸川区一之江町,1,1,-,11,X,-,-,-,1,-,-,-,-
5,13123,1312304100,江戸川区,江戸川区宇喜田町,,江戸川区宇喜田町,3,2,1,7,88,2,1,-,-,-,-,-,-
5,13123,1312301700,江戸川区,江戸川区江戸川,,江戸川区江戸川,21,18,3,82,2010,6,8,7,-,-,-,-,-
6,13123,1312301701,江戸川区,江戸川区江戸川,1丁目,江戸川区江戸川1丁目,3,2,1,13,243,1,-,2,-,-,-,-,-
6,13123,1312301702,江戸川区,江戸川区江戸川,2丁目,江戸川区江戸川2丁目,1,1,-,3,X,-,1,-,-,-,-,-,-
6,13123,1312301703,江戸川区,江戸川区江戸川,3丁目,江戸川区江戸川3丁目,4,4,-,16,581,1,2,1,-,-,-,-,-
6,13123,1312301704,江戸川区,江戸川区江戸川,4丁目,江戸川区江戸川4丁目,2,2,-,4,X,2,-,-,-,-,-,-,-
6,13123,1312301705,江戸川区,江戸川区江戸川,5丁目,江戸川区江戸川5丁目,5,4,1,21,581,1,2,2,-,-,-,-,-
6,13123,1312301706,江戸川区,江戸川区江戸川,6丁目,江戸川区江戸川6丁目,6,5,1,25,531,1,3,2,-,-,-,-,-
5,13123,1312302800,江戸川区,江戸川区興宮町,,江戸川区興宮町,2,2,-,11,X,1,-,-,1,-,-,-,-
5,13123,1312304600,江戸川区,江戸川区北葛西,,江戸川区北葛西,18,14,4,156,5833,5,5,2,3,2,1,-,-
6,13123,1312304601,江戸川区,江戸川区北葛西,1丁目,江戸川区北葛西1丁目,2,2,-,39,X,-,-,-,1,1,-,-,-
6,13123,1312304602,江戸川区,江戸川区北葛西,2丁目,江戸川区北葛西2丁目,3,2,1,36,3347,1,1,-,-,-,1,-,-
6,13123,1312304603,江戸川区,江戸川区北葛西,3丁目,江戸川区北葛西3丁目,7,5,2,46,1447,1,3,1,2,-,-,-,-
6,13123,1312304604,江戸川区,江戸川区北葛西,4丁目,江戸川区北葛西4丁目,2,2,-,25,X,-,1,-,-,1,-,-,-
6,13123,1312304605,江戸川区,江戸川区北葛西,5丁目,江戸川区北葛西5丁目,4,3,1,10,247,3,-,1,-,-,-,-,-
5,13123,1312302300,江戸川区,江戸川区北小岩,,江戸川区北小岩,47,43,4,149,6941,28,9,8,2,-,-,-,-
6,13123,1312302301,江戸川区,江戸川区北小岩,1丁目,江戸川区北小岩1丁目,6,6,-,24,827,2,2,2,-,-,-,-,-
6,13123,1312302302,江戸川区,江戸川区北小岩,2丁目,江戸川区北小岩2丁目,9,8,1,43,2316,3,2,3,1,-,-,-,-
6,13123,1312302303,江戸川区,江戸川区北小岩,3丁目,江戸川区北小岩3丁目,7,7,-,14,908,5,2,-,-,-,-,-,-
6,13123,1312302304,江戸川区,江戸川区北小岩,4丁目,江戸川区北小岩4丁目,3,2,1,10,X,2,-,1,-,-,-,-,-
6,13123,1312302305,江戸川区,江戸川区北小岩,5丁目,江戸川区北小岩5丁目,2,2,-,5,X,1,1,-,-,-,-,-,-
6,13123,1312302306,江戸川区,江戸川区北小岩,6丁目,江戸川区北小岩6丁目,7,7,-,24,1089,5,-,1,1,-,-,-,-
6,13123,1312302307,江戸川区,江戸川区北小岩,7丁目,江戸川区北小岩7丁目,5,5,-,14,1042,4,-,1,-,-,-,-,-
6,13123,1312302308,江戸川区,江戸川区北小岩,8丁目,江戸川区北小岩8丁目,8,6,2,15,201,6,2,-,-,-,-,-,-
5,13123,1312300100,江戸川区,江戸川区小松川,,江戸川区小松川,14,14,-,154,12437,4,2,3,2,2,1,-,-
6,13123,1312300101,江戸川区,江戸川区小松川,1丁目,江戸川区小松川1丁目,3,3,-,7,X,1,2,-,-,-,-,-,-
6,13123,1312300102,江戸川区,江戸川区小松川,2丁目,江戸川区小松川2丁目,1,1,-,1,X,1,-,-,-,-,-,-,-
6,13123,1312300103,江戸川区,江戸川区小松川,3丁目,江戸川区小松川3丁目,4,4,-,77,5453,-,-,2,-,1,1,-,-
6,13123,1312300104,江戸川区,江戸川区小松川,4丁目,江戸川区小松川4丁目,6,6,-,69,6533,2,-,1,2,1,-,-,-
