地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,売場面積（m2）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13103,1310300000,港区,,,港区,2113,1837,276,22575,845709,195125,611,448,499,324,117,62,30,22
5,13103,1310302200,港区,港区赤坂,,港区赤坂,182,172,10,2989,76554,18549,44,36,51,30,7,7,2,5
6,13103,1310302201,港区,港区赤坂,1丁目,港区赤坂1丁目,22,22,-,144,2748,2099,4,5,9,3,1,-,-,-
6,13103,1310302202,港区,港区赤坂,2丁目,港区赤坂2丁目,29,28,1,381,22541,3690,3,5,11,6,2,1,-,1
6,13103,1310302203,港区,港区赤坂,3丁目,港区赤坂3丁目,38,35,3,389,7034,3593,11,10,7,5,2,2,-,1
6,13103,1310302204,港区,港区赤坂,4丁目,港区赤坂4丁目,18,15,3,73,2721,1619,10,2,5,1,-,-,-,-
6,13103,1310302205,港区,港区赤坂,5丁目,港区赤坂5丁目,14,14,-,89,1825,977,3,3,5,3,-,-,-,-
6,13103,1310302206,港区,港区赤坂,6丁目,港区赤坂6丁目,8,7,1,312,13871,325,4,1,1,-,-,-,1,1
6,13103,1310302207,港区,港区赤坂,7丁目,港区赤坂7丁目,14,13,1,100,1351,614,5,2,5,1,-,1,-,-
6,13103,1310302208,港区,港区赤坂,8丁目,港区赤坂8丁目,5,4,1,1064,14932,324,1,-,1,1,-,-,-,2
6,13103,1310302209,港区,港区赤坂,9丁目,港区赤坂9丁目,34,34,-,437,9531,5308,3,8,7,10,2,3,1,-
5,13103,1310301900,港区,港区麻布十番,,港区麻布十番,90,78,12,727,12553,7266,27,25,18,10,5,4,1,-
6,13103,1310301901,港区,港区麻布十番,1丁目,港区麻布十番1丁目,22,20,2,153,2005,1400,6,6,6,3,-,1,-,-
6,13103,1310301902,港区,港区麻布十番,2丁目,港区麻布十番2丁目,53,46,7,392,7175,4539,19,16,8,5,2,2,1,-
6,13103,1310301903,港区,港区麻布十番,3丁目,港区麻布十番3丁目,14,11,3,157,X,X,2,3,4,2,2,1,-,-
6,13103,1310301904,港区,港区麻布十番,4丁目,港区麻布十番4丁目,1,1,-,25,X,X,-,-,-,-,1,-,-,-
5,13103,1310301800,港区,港区麻布台,,港区麻布台,8,8,-,113,6364,307,2,1,3,1,-,-,1,-
6,13103,1310301801,港区,港区麻布台,1丁目,港区麻布台1丁目,4,4,-,36,2816,X,-,1,2,1,-,-,-,-
6,13103,1310301802,港区,港区麻布台,2丁目,港区麻布台2丁目,2,2,-,73,X,-,-,-,1,-,-,-,1,-
6,13103,1310301803,港区,港区麻布台,3丁目,港区麻布台3丁目,2,2,-,4,X,X,2,-,-,-,-,-,-,-
5,13103,1310301300,港区,港区麻布永坂町,,港区麻布永坂町,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13103,1310301200,港区,港区麻布狸穴町,,港区麻布狸穴町,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13103,1310301100,港区,港区愛宕,,港区愛宕,2,2,-,32,X,X,-,-,-,2,-,-,-,-
6,13103,1310301101,港区,港区愛宕,1丁目,港区愛宕1丁目,1,1,-,17,X,-,-,-,-,1,-,-,-,-
6,13103,1310301102,港区,港区愛宕,2丁目,港区愛宕2丁目,1,1,-,15,X,X,-,-,-,1,-,-,-,-
5,13103,1310300200,港区,港区海岸,,港区海岸,32,31,1,1027,23954,3473,5,3,12,4,3,1,1,3
6,13103,1310300201,港区,港区海岸,1丁目,港区海岸1丁目,20,20,-,743,20974,2024,4,1,9,-,3,-,1,2
6,13103,1310300202,港区,港区海岸,2丁目,港区海岸2丁目,5,5,-,53,550,923,-,2,1,1,-,1,-,-
6,13103,1310300203,港区,港区海岸,3丁目,港区海岸3丁目,7,6,1,231,2430,526,1,-,2,3,-,-,-,1
5,13103,1310302400,港区,港区北青山,,港区北青山,97,95,2,1258,18410,12547,25,17,26,20,4,3,-,2
6,13103,1310302401,港区,港区北青山,1丁目,港区北青山1丁目,7,7,-,35,508,675,2,2,1,2,-,-,-,-
6,13103,1310302402,港区,港区北青山,2丁目,港区北青山2丁目,27,26,1,219,7453,2642,9,1,7,8,2,-,-,-
6,13103,1310302403,港区,港区北青山,3丁目,港区北青山3丁目,63,62,1,1004,10449,9230,14,14,18,10,2,3,-,2
5,13103,1310302900,港区,港区港南,,港区港南,55,52,3,818,14282,5628,8,10,13,13,5,4,-,2
