地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,売場面積（m2）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13221,1322100000,清瀬市,,,清瀬市,286,156,130,2189,35047,29589,123,62,41,36,13,7,3,1
5,13221,1322100600,清瀬市,清瀬市旭が丘,,清瀬市旭が丘,10,6,4,60,1049,1006,3,4,2,-,1,-,-,-
6,13221,1322100601,清瀬市,清瀬市旭が丘,1丁目,清瀬市旭が丘1丁目,2,1,1,10,X,X,-,1,1,-,-,-,-,-
6,13221,1322100602,清瀬市,清瀬市旭が丘,2丁目,清瀬市旭が丘2丁目,6,4,2,46,708,880,1,3,1,-,1,-,-,-
6,13221,1322100603,清瀬市,清瀬市旭が丘,3丁目,清瀬市旭が丘3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13221,1322100604,清瀬市,清瀬市旭が丘,4丁目,清瀬市旭が丘4丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13221,1322100605,清瀬市,清瀬市旭が丘,5丁目,清瀬市旭が丘5丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13221,1322100606,清瀬市,清瀬市旭が丘,6丁目,清瀬市旭が丘6丁目,2,1,1,4,X,X,2,-,-,-,-,-,-,-
5,13221,1322101100,清瀬市,清瀬市梅園,,清瀬市梅園,12,10,2,76,2533,671,3,4,2,3,-,-,-,-
6,13221,1322101101,清瀬市,清瀬市梅園,1丁目,清瀬市梅園1丁目,2,2,-,9,X,X,-,1,1,-,-,-,-,-
6,13221,1322101102,清瀬市,清瀬市梅園,2丁目,清瀬市梅園2丁目,3,3,-,26,X,X,-,2,-,1,-,-,-,-
6,13221,1322101103,清瀬市,清瀬市梅園,3丁目,清瀬市梅園3丁目,7,5,2,41,489,383,3,1,1,2,-,-,-,-
5,13221,1322100100,清瀬市,清瀬市上清戸,,清瀬市上清戸,12,4,8,73,937,790,7,1,1,2,1,-,-,-
6,13221,1322100101,清瀬市,清瀬市上清戸,1丁目,清瀬市上清戸1丁目,7,-,7,26,149,270,6,-,-,1,-,-,-,-
6,13221,1322100102,清瀬市,清瀬市上清戸,2丁目,清瀬市上清戸2丁目,5,4,1,47,787,520,1,1,1,1,1,-,-,-
5,13221,1322100500,清瀬市,清瀬市下宿,,清瀬市下宿,7,3,4,47,361,301,2,3,1,-,1,-,-,-
6,13221,1322100501,清瀬市,清瀬市下宿,1丁目,清瀬市下宿1丁目,1,-,1,27,X,X,-,-,-,-,1,-,-,-
