地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,売場面積（m2）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13206,1320600000,府中市,,,府中市,927,650,277,8946,187652,176418,306,208,178,120,64,29,15,7
5,13206,1320600200,府中市,府中市朝日町,,府中市朝日町,13,5,8,54,628,797,7,4,-,1,1,-,-,-
6,13206,1320600201,府中市,府中市朝日町,1丁目,府中市朝日町1丁目,1,-,1,1,X,X,1,-,-,-,-,-,-,-
6,13206,1320600202,府中市,府中市朝日町,2丁目,府中市朝日町2丁目,10,4,6,32,395,608,5,4,-,1,-,-,-,-
6,13206,1320600203,府中市,府中市朝日町,3丁目,府中市朝日町3丁目,2,1,1,21,X,X,1,-,-,-,1,-,-,-
5,13206,1320600500,府中市,府中市押立町,,府中市押立町,10,6,4,41,587,558,5,2,1,2,-,-,-,-
6,13206,1320600501,府中市,府中市押立町,1丁目,府中市押立町1丁目,5,3,2,29,425,384,1,2,-,2,-,-,-,-
6,13206,1320600502,府中市,府中市押立町,2丁目,府中市押立町2丁目,2,-,2,4,X,X,2,-,-,-,-,-,-,-
6,13206,1320600503,府中市,府中市押立町,3丁目,府中市押立町3丁目,1,1,-,2,X,X,1,-,-,-,-,-,-,-
6,13206,1320600504,府中市,府中市押立町,4丁目,府中市押立町4丁目,1,1,-,5,X,-,-,-,1,-,-,-,-,-
6,13206,1320600505,府中市,府中市押立町,5丁目,府中市押立町5丁目,1,1,-,1,X,-,1,-,-,-,-,-,-,-
5,13206,1320602200,府中市,府中市片町,,府中市片町,40,34,6,308,3940,6707,9,10,13,2,6,-,-,-
6,13206,1320602201,府中市,府中市片町,1丁目,府中市片町1丁目,8,6,2,55,635,252,2,2,3,-,1,-,-,-
6,13206,1320602202,府中市,府中市片町,2丁目,府中市片町2丁目,17,13,4,98,751,1046,5,7,2,2,1,-,-,-
6,13206,1320602203,府中市,府中市片町,3丁目,府中市片町3丁目,15,15,-,155,2554,5409,2,1,8,-,4,-,-,-
5,13206,1320602900,府中市,府中市北山町,,府中市北山町,8,2,6,20,269,185,4,3,1,-,-,-,-,-
6,13206,1320602901,府中市,府中市北山町,1丁目,府中市北山町1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13206,1320602902,府中市,府中市北山町,2丁目,府中市北山町2丁目,8,2,6,20,269,185,4,3,1,-,-,-,-,-
6,13206,1320602903,府中市,府中市北山町,3丁目,府中市北山町3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13206,1320602904,府中市,府中市北山町,4丁目,府中市北山町4丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13206,1320602400,府中市,府中市寿町,,府中市寿町,22,17,5,222,6386,5328,7,7,1,4,1,1,1,-
6,13206,1320602401,府中市,府中市寿町,1丁目,府中市寿町1丁目,14,10,4,165,4439,1086,4,5,1,2,-,1,1,-
6,13206,1320602402,府中市,府中市寿町,2丁目,府中市寿町2丁目,6,5,1,36,X,X,2,2,-,2,-,-,-,-
6,13206,1320602403,府中市,府中市寿町,3丁目,府中市寿町3丁目,2,2,-,21,X,X,1,-,-,-,1,-,-,-
5,13206,1320600600,府中市,府中市小柳町,,府中市小柳町,18,9,9,79,1197,590,8,4,4,2,-,-,-,-
6,13206,1320600601,府中市,府中市小柳町,1丁目,府中市小柳町1丁目,5,1,4,10,X,X,3,2,-,-,-,-,-,-
6,13206,1320600602,府中市,府中市小柳町,2丁目,府中市小柳町2丁目,5,4,1,30,622,190,2,-,2,1,-,-,-,-
6,13206,1320600603,府中市,府中市小柳町,3丁目,府中市小柳町3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13206,1320600604,府中市,府中市小柳町,4丁目,府中市小柳町4丁目,1,1,-,6,X,X,-,-,1,-,-,-,-,-
6,13206,1320600605,府中市,府中市小柳町,5丁目,府中市小柳町5丁目,6,3,3,32,377,243,2,2,1,1,-,-,-,-
6,13206,1320600606,府中市,府中市小柳町,6丁目,府中市小柳町6丁目,1,-,1,1,X,-,1,-,-,-,-,-,-,-
5,13206,1320601800,府中市,府中市是政,,府中市是政,21,15,6,238,3849,1973,8,5,2,4,1,-,-,1
6,13206,1320601801,府中市,府中市是政,1丁目,府中市是政1丁目,5,3,2,48,378,229,2,1,-,1,1,-,-,-
6,13206,1320601802,府中市,府中市是政,2丁目,府中市是政2丁目,6,4,2,27,1069,278,2,2,1,1,-,-,-,-
6,13206,1320601803,府中市,府中市是政,3丁目,府中市是政3丁目,4,3,1,18,375,285,2,1,-,1,-,-,-,-
6,13206,1320601804,府中市,府中市是政,4丁目,府中市是政4丁目,1,1,-,118,X,X,-,-,-,-,-,-,-,1
6,13206,1320601805,府中市,府中市是政,5丁目,府中市是政5丁目,4,3,1,25,X,X,1,1,1,1,-,-,-,-
6,13206,1320601806,府中市,府中市是政,6丁目,府中市是政6丁目,1,1,-,2,X,X,1,-,-,-,-,-,-,-
5,13206,1320601100,府中市,府中市幸町,,府中市幸町,7,3,4,49,410,293,4,2,-,-,-,1,-,-
6,13206,1320601101,府中市,府中市幸町,1丁目,府中市幸町1丁目,2,1,1,3,X,X,2,-,-,-,-,-,-,-
6,13206,1320601102,府中市,府中市幸町,2丁目,府中市幸町2丁目,4,1,3,10,97,76,2,2,-,-,-,-,-,-
6,13206,1320601103,府中市,府中市幸町,3丁目,府中市幸町3丁目,1,1,-,36,X,X,-,-,-,-,-,1,-,-
5,13206,1320602700,府中市,府中市栄町,,府中市栄町,25,17,8,305,8296,4835,7,8,4,2,-,3,1,-
6,13206,1320602701,府中市,府中市栄町,1丁目,府中市栄町1丁目,8,6,2,142,1935,4225,2,3,-,1,-,1,1,-
6,13206,1320602702,府中市,府中市栄町,2丁目,府中市栄町2丁目,14,8,6,132,5779,363,5,5,2,-,-,2,-,-
