地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13214,1321400000,国分寺市,,,国分寺市,108,93,15,567,29433,39,23,31,11,3,1,-,-
5,13214,1321400400,国分寺市,国分寺市泉町,,国分寺市泉町,5,5,-,22,1289,1,3,1,-,-,-,-,-
6,13214,1321400401,国分寺市,国分寺市泉町,1丁目,国分寺市泉町1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321400402,国分寺市,国分寺市泉町,2丁目,国分寺市泉町2丁目,2,2,-,7,X,-,2,-,-,-,-,-,-
6,13214,1321400403,国分寺市,国分寺市泉町,3丁目,国分寺市泉町3丁目,3,3,-,15,X,1,1,1,-,-,-,-,-
5,13214,1321401600,国分寺市,国分寺市北町,,国分寺市北町,5,4,1,23,1752,-,2,3,-,-,-,-,-
6,13214,1321401601,国分寺市,国分寺市北町,1丁目,国分寺市北町1丁目,3,2,1,14,X,-,1,2,-,-,-,-,-
6,13214,1321401602,国分寺市,国分寺市北町,2丁目,国分寺市北町2丁目,1,1,-,6,X,-,-,1,-,-,-,-,-
6,13214,1321401603,国分寺市,国分寺市北町,3丁目,国分寺市北町3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401604,国分寺市,国分寺市北町,4丁目,国分寺市北町4丁目,1,1,-,3,X,-,1,-,-,-,-,-,-
6,13214,1321401605,国分寺市,国分寺市北町,5丁目,国分寺市北町5丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13214,1321401400,国分寺市,国分寺市新町,,国分寺市新町,3,2,1,6,45,2,1,-,-,-,-,-,-
6,13214,1321401401,国分寺市,国分寺市新町,1丁目,国分寺市新町1丁目,1,1,-,1,X,1,-,-,-,-,-,-,-
6,13214,1321401402,国分寺市,国分寺市新町,2丁目,国分寺市新町2丁目,1,-,1,1,X,1,-,-,-,-,-,-,-
6,13214,1321401403,国分寺市,国分寺市新町,3丁目,国分寺市新町3丁目,1,1,-,4,X,-,1,-,-,-,-,-,-
5,13214,1321401800,国分寺市,国分寺市高木町,,国分寺市高木町,1,1,-,5,X,-,-,1,-,-,-,-,-
6,13214,1321401801,国分寺市,国分寺市高木町,1丁目,国分寺市高木町1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401802,国分寺市,国分寺市高木町,2丁目,国分寺市高木町2丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401803,国分寺市,国分寺市高木町,3丁目,国分寺市高木町3丁目,1,1,-,5,X,-,-,1,-,-,-,-,-
5,13214,1321401000,国分寺市,国分寺市戸倉,,国分寺市戸倉,4,3,1,31,1287,-,2,-,2,-,-,-,-
6,13214,1321401001,国分寺市,国分寺市戸倉,1丁目,国分寺市戸倉1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401002,国分寺市,国分寺市戸倉,2丁目,国分寺市戸倉2丁目,3,2,1,20,X,-,2,-,1,-,-,-,-
6,13214,1321401003,国分寺市,国分寺市戸倉,3丁目,国分寺市戸倉3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401004,国分寺市,国分寺市戸倉,4丁目,国分寺市戸倉4丁目,1,1,-,11,X,-,-,-,1,-,-,-,-
5,13214,1321401200,国分寺市,国分寺市内藤,,国分寺市内藤,1,1,-,1,X,1,-,-,-,-,-,-,-
6,13214,1321401201,国分寺市,国分寺市内藤,1丁目,国分寺市内藤1丁目,1,1,-,1,X,1,-,-,-,-,-,-,-
6,13214,1321401202,国分寺市,国分寺市内藤,2丁目,国分寺市内藤2丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13214,1321401500,国分寺市,国分寺市並木町,,国分寺市並木町,2,2,-,15,X,-,-,2,-,-,-,-,-
6,13214,1321401501,国分寺市,国分寺市並木町,1丁目,国分寺市並木町1丁目,1,1,-,7,X,-,-,1,-,-,-,-,-
6,13214,1321401502,国分寺市,国分寺市並木町,2丁目,国分寺市並木町2丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401503,国分寺市,国分寺市並木町,3丁目,国分寺市並木町3丁目,1,1,-,8,X,-,-,1,-,-,-,-,-
5,13214,1321400800,国分寺市,国分寺市西恋ケ窪,,国分寺市西恋ケ窪,10,8,2,31,2132,5,4,1,-,-,-,-,-
6,13214,1321400801,国分寺市,国分寺市西恋ケ窪,1丁目,国分寺市西恋ケ窪1丁目,3,3,-,13,X,1,1,1,-,-,-,-,-
6,13214,1321400802,国分寺市,国分寺市西恋ケ窪,2丁目,国分寺市西恋ケ窪2丁目,2,2,-,3,X,2,-,-,-,-,-,-,-
6,13214,1321400803,国分寺市,国分寺市西恋ケ窪,3丁目,国分寺市西恋ケ窪3丁目,5,3,2,15,205,2,3,-,-,-,-,-,-
6,13214,1321400804,国分寺市,国分寺市西恋ケ窪,4丁目,国分寺市西恋ケ窪4丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13214,1321401900,国分寺市,国分寺市西町,,国分寺市西町,7,7,-,45,1323,2,1,3,1,-,-,-,-
6,13214,1321401901,国分寺市,国分寺市西町,1丁目,国分寺市西町1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401902,国分寺市,国分寺市西町,2丁目,国分寺市西町2丁目,2,2,-,6,X,1,-,1,-,-,-,-,-
6,13214,1321401903,国分寺市,国分寺市西町,3丁目,国分寺市西町3丁目,3,3,-,28,879,-,1,1,1,-,-,-,-
6,13214,1321401904,国分寺市,国分寺市西町,4丁目,国分寺市西町4丁目,1,1,-,9,X,-,-,1,-,-,-,-,-
6,13214,1321401905,国分寺市,国分寺市西町,5丁目,国分寺市西町5丁目,1,1,-,2,X,1,-,-,-,-,-,-,-
5,13214,1321400200,国分寺市,国分寺市西元町,,国分寺市西元町,3,3,-,20,705,1,-,1,1,-,-,-,-
6,13214,1321400201,国分寺市,国分寺市西元町,1丁目,国分寺市西元町1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321400202,国分寺市,国分寺市西元町,2丁目,国分寺市西元町2丁目,2,2,-,10,X,1,-,1,-,-,-,-,-
6,13214,1321400203,国分寺市,国分寺市西元町,3丁目,国分寺市西元町3丁目,1,1,-,10,X,-,-,-,1,-,-,-,-
