地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,売場面積（m2）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13123,1312300000,江戸川区,,,江戸川区,2577,1659,918,21127,411579,362623,1042,552,414,328,141,47,39,14
5,13123,1312301100,江戸川区,江戸川区一之江,,江戸川区一之江,90,67,23,768,17159,7745,31,19,16,17,3,2,2,-
6,13123,1312301101,江戸川区,江戸川区一之江,1丁目,江戸川区一之江1丁目,4,4,-,35,1246,35,-,-,3,1,-,-,-,-
6,13123,1312301102,江戸川区,江戸川区一之江,2丁目,江戸川区一之江2丁目,5,3,2,32,647,19,2,1,1,1,-,-,-,-
6,13123,1312301103,江戸川区,江戸川区一之江,3丁目,江戸川区一之江3丁目,10,9,1,94,1785,1561,2,2,2,3,1,-,-,-
6,13123,1312301104,江戸川区,江戸川区一之江,4丁目,江戸川区一之江4丁目,16,13,3,106,1803,2519,8,4,1,2,-,-,1,-
6,13123,1312301105,江戸川区,江戸川区一之江,5丁目,江戸川区一之江5丁目,10,6,4,48,1788,438,6,1,2,-,1,-,-,-
6,13123,1312301106,江戸川区,江戸川区一之江,6丁目,江戸川区一之江6丁目,10,4,6,39,487,321,5,2,3,-,-,-,-,-
6,13123,1312301107,江戸川区,江戸川区一之江,7丁目,江戸川区一之江7丁目,25,21,4,350,8553,2327,3,7,4,7,1,2,1,-
6,13123,1312301108,江戸川区,江戸川区一之江,8丁目,江戸川区一之江8丁目,10,7,3,64,850,525,5,2,-,3,-,-,-,-
5,13123,1312301000,江戸川区,江戸川区一之江町,,江戸川区一之江町,2,1,1,5,X,X,1,1,-,-,-,-,-,-
5,13123,1312304100,江戸川区,江戸川区宇喜田町,,江戸川区宇喜田町,9,5,4,51,798,591,4,-,4,1,-,-,-,-
5,13123,1312301700,江戸川区,江戸川区江戸川,,江戸川区江戸川,86,50,36,429,7040,6630,47,19,10,6,3,-,1,-
