地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,売場面積（m2）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13104,1310400000,新宿区,,,新宿区,2744,2284,460,33031,1321570,484489,726,580,664,441,179,79,45,30
5,13104,1310401200,新宿区,新宿区愛住町,,新宿区愛住町,8,7,1,80,3421,858,2,2,1,2,1,-,-,-
5,13104,1310406000,新宿区,新宿区赤城下町,,新宿区赤城下町,1,-,1,4,X,X,-,1,-,-,-,-,-,-
5,13104,1310403700,新宿区,新宿区赤城元町,,新宿区赤城元町,3,2,1,6,41,102,2,1,-,-,-,-,-,-
5,13104,1310403300,新宿区,新宿区揚場町,,新宿区揚場町,8,7,1,91,2952,1314,1,-,2,5,-,-,-,-
5,13104,1310401000,新宿区,新宿区荒木町,,新宿区荒木町,7,4,3,96,2912,115,4,-,1,-,1,-,1,-
5,13104,1310402300,新宿区,新宿区市谷加賀町,,新宿区市谷加賀町,1,1,-,1,X,X,1,-,-,-,-,-,-,-
6,13104,1310402301,新宿区,新宿区市谷加賀町,1丁目,新宿区市谷加賀町1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13104,1310402302,新宿区,新宿区市谷加賀町,2丁目,新宿区市谷加賀町2丁目,1,1,-,1,X,X,1,-,-,-,-,-,-,-
5,13104,1310402400,新宿区,新宿区市谷甲良町,,新宿区市谷甲良町,2,1,1,23,X,X,1,-,-,-,1,-,-,-
5,13104,1310402100,新宿区,新宿区市谷砂土原町,,新宿区市谷砂土原町,1,1,-,106,X,-,-,-,-,-,-,-,-,1
6,13104,1310402101,新宿区,新宿区市谷砂土原町,1丁目,新宿区市谷砂土原町1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13104,1310402102,新宿区,新宿区市谷砂土原町,2丁目,新宿区市谷砂土原町2丁目,1,1,-,106,X,-,-,-,-,-,-,-,-,1
6,13104,1310402103,新宿区,新宿区市谷砂土原町,3丁目,新宿区市谷砂土原町3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13104,1310402200,新宿区,新宿区市谷左内町,,新宿区市谷左内町,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13104,1310402700,新宿区,新宿区市谷鷹匠町,,新宿区市谷鷹匠町,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13104,1310401900,新宿区,新宿区市谷田町,,新宿区市谷田町,11,10,1,87,2665,962,3,3,2,2,-,1,-,-
6,13104,1310401901,新宿区,新宿区市谷田町,1丁目,新宿区市谷田町1丁目,4,4,-,19,X,X,1,2,1,-,-,-,-,-
6,13104,1310401902,新宿区,新宿区市谷田町,2丁目,新宿区市谷田町2丁目,2,2,-,13,X,X,-,1,-,1,-,-,-,-
6,13104,1310401903,新宿区,新宿区市谷田町,3丁目,新宿区市谷田町3丁目,5,4,1,55,2189,564,2,-,1,1,-,1,-,-
5,13104,1310407700,新宿区,新宿区市谷台町,,新宿区市谷台町,9,6,3,40,476,319,2,5,1,1,-,-,-,-
5,13104,1310402600,新宿区,新宿区市谷長延寺町,,新宿区市谷長延寺町,1,1,-,1,X,X,1,-,-,-,-,-,-,-
5,13104,1310405900,新宿区,新宿区市谷仲之町,,新宿区市谷仲之町,1,1,-,20,X,X,-,-,-,-,1,-,-,-
5,13104,1310402900,新宿区,新宿区市谷八幡町,,新宿区市谷八幡町,3,3,-,74,715,920,-,-,-,2,-,1,-,-
5,13104,1310402500,新宿区,新宿区市谷船河原町,,新宿区市谷船河原町,3,3,-,23,1095,386,1,-,1,1,-,-,-,-
5,13104,1310402000,新宿区,新宿区市谷本村町,,新宿区市谷本村町,14,13,1,328,18740,824,4,2,3,1,1,2,-,1
5,13104,1310405700,新宿区,新宿区市谷薬王寺町,,新宿区市谷薬王寺町,7,5,2,36,1688,116,2,3,-,2,-,-,-,-
5,13104,1310405800,新宿区,新宿区市谷柳町,,新宿区市谷柳町,4,1,3,44,774,748,2,-,-,1,1,-,-,-
5,13104,1310402800,新宿区,新宿区市谷山伏町,,新宿区市谷山伏町,3,3,-,10,124,56,1,1,1,-,-,-,-,-
5,13104,1310405000,新宿区,新宿区岩戸町,,新宿区岩戸町,3,2,1,35,487,233,-,1,1,-,1,-,-,-
5,13104,1310406200,新宿区,新宿区榎町,,新宿区榎町,3,1,2,7,43,62,2,1,-,-,-,-,-,-
5,13104,1310408400,新宿区,新宿区大久保,,新宿区大久保,64,46,18,733,18192,8509,21,13,8,11,5,5,-,1
6,13104,1310408401,新宿区,新宿区大久保,1丁目,新宿区大久保1丁目,25,20,5,392,10835,5161,10,1,3,6,1,3,-,1
6,13104,1310408402,新宿区,新宿区大久保,2丁目,新宿区大久保2丁目,24,16,8,137,2176,1484,9,7,4,3,1,-,-,-
6,13104,1310408403,新宿区,新宿区大久保,3丁目,新宿区大久保3丁目,15,10,5,204,5181,1864,2,5,1,2,3,2,-,-
5,13104,1310407300,新宿区,新宿区改代町,,新宿区改代町,5,3,2,7,58,227,5,-,-,-,-,-,-,-
5,13104,1310405600,新宿区,新宿区神楽河岸,,新宿区神楽河岸,6,6,-,103,854,859,-,1,2,1,1,-,1,-
5,13104,1310403000,新宿区,新宿区神楽坂,,新宿区神楽坂,86,65,21,568,9129,6552,33,23,13,10,5,1,1,-
6,13104,1310403001,新宿区,新宿区神楽坂,1丁目,新宿区神楽坂1丁目,9,9,-,83,1487,580,3,3,-,1,2,-,-,-
6,13104,1310403002,新宿区,新宿区神楽坂,2丁目,新宿区神楽坂2丁目,6,5,1,21,231,370,3,2,1,-,-,-,-,-
6,13104,1310403003,新宿区,新宿区神楽坂,3丁目,新宿区神楽坂3丁目,17,12,5,74,976,733,8,6,1,2,-,-,-,-
6,13104,1310403004,新宿区,新宿区神楽坂,4丁目,新宿区神楽坂4丁目,5,3,2,44,646,654,2,1,1,-,-,1,-,-
6,13104,1310403005,新宿区,新宿区神楽坂,5丁目,新宿区神楽坂5丁目,14,13,1,96,1639,1786,3,4,2,4,1,-,-,-
6,13104,1310403006,新宿区,新宿区神楽坂,6丁目,新宿区神楽坂6丁目,35,23,12,250,4150,2429,14,7,8,3,2,-,1,-
5,13104,1310401600,新宿区,新宿区片町,,新宿区片町,4,2,2,13,348,114,2,1,1,-,-,-,-,-
5,13104,1310401800,新宿区,新宿区歌舞伎町,,新宿区歌舞伎町,122,113,9,1116,25179,14463,18,36,34,19,11,2,2,-
6,13104,1310401801,新宿区,新宿区歌舞伎町,1丁目,新宿区歌舞伎町1丁目,96,90,6,816,17969,11689,13,33,29,11,7,1,2,-
6,13104,1310401802,新宿区,新宿区歌舞伎町,2丁目,新宿区歌舞伎町2丁目,26,23,3,300,7210,2774,5,3,5,8,4,1,-,-
5,13104,1310409000,新宿区,新宿区上落合,,新宿区上落合,43,26,17,300,4505,3525,17,11,7,2,5,-,1,-
6,13104,1310409001,新宿区,新宿区上落合,1丁目,新宿区上落合1丁目,11,6,5,70,768,358,5,3,1,-,2,-,-,-
6,13104,1310409002,新宿区,新宿区上落合,2丁目,新宿区上落合2丁目,21,15,6,108,1810,2181,8,5,6,1,1,-,-,-
6,13104,1310409003,新宿区,新宿区上落合,3丁目,新宿区上落合3丁目,11,5,6,122,1927,986,4,3,-,1,2,-,1,-
5,13104,1310406800,新宿区,新宿区喜久井町,,新宿区喜久井町,6,4,2,31,556,435,3,1,1,1,-,-,-,-
5,13104,1310409300,新宿区,新宿区北新宿,,新宿区北新宿,76,54,22,876,90494,6220,30,15,11,12,3,1,3,1
