"年度","総搬入量[t]","日平均搬入量[t]","焼却量[t]","日平均焼却量[t]"
"2015","224894","719","224035","636"
"2016","209742","674","209200","601"
"2017","245493","787","241488","690"
"2018","234537","752","230825","671"
"2019","194710","626","193623","566"

"令和2年度港区行政資料集　港清掃工場取扱量","Ver202003",,,
