"区分","面積[平法キロメートル]","人口[人]","世帯数未","全産業事業所数","全産業従業者数[人]","公道延長[メートル]","公園面積[平法メートル]","１人当たり公園面積[平法メートル]","新設着工住宅戸数","平成28年度 特別区税額[円]","平成28年度 財調収入[円]"
"23区総計","627.57","9463073","5142360","526748","8066791","11934266","40836291.87","4.33","114871","1040543999000","937587764000"
"千代田","11.66","62495","35202","34250","1038143","175570","1702945.70","28.27","1600","18441614000","3063261000"
"中央","10.21","160598","91253","37869","756052","194759","609427.77","4.02","2951","26440630000","12695936000"
"港","20.37","256563","145916","39375","1014842","304051","1409515.57","5.63","2944","76826393000","0"
"新宿","18.22","345347","219207","33602","693036","356120","1145871.08","3.36","4973","45583128000","26398288000"
"文京","11.29","219656","120153","14316","226335","207453","552968.05","2.46","2514","32006232000","15874192000"
"台東","10.11","198211","117975","24446","246917","258486","773891.90","3.84","5334","20961615000","27468540000"
"墨田","13.77","271154","150170","16884","179072","296876","781987.94","2.99","4294","23272719000","38409504000"
"江東","40.16","516985","266353","19112","375745","393993","4312117.91","8.53","5312","49986372000","55055830000"
"品川","22.84","392213","219542","21609","412700","388455","1366453.71","3.46","7943","46953652000","38972148000"
"目黒","14.67","278759","156425","12211","141132","358968","488307.06","1.73","2889","43460809000","11968878000"
"大田","60.83","728803","390735","31432","375194","853591","2785198.87","3.84","8484","73006451000","69698253000"
"世田谷","58.05","906739","478919","28994","288580","1186135","2882820.62","3.14","9832","119444765000","41757041000"
"渋谷","15.11","226204","137497","28613","503767","272489","1639084.96","7.18","3098","48785053000","1209112000"
"中野","15.59","330922","204092","12917","128078","368256","453161.06","1.36","5277","33158639000","34982453000"
"杉並","34.06","568438","321483","20592","173874","688704","1178451.62","2.06","5946","63341296000","38442404000"
"豊島","13.01","289536","180066","19938","279586","307963","209126.89","0.71","2834","31468147000","28275588000"
"北","20.61","350098","195445","13701","142168","374835","1078078.13","3.11","5570","28067049000","47863576000"
"荒川","10.16","215486","115421","9899","85115","215239","437159.97","2.03","2594","16724726000","36979271000"
"板橋","32.22","565006","307367","19343","213374","740259","1953345.80","3.42","6322","44973474000","65863234000"
"練馬","48.08","731866","369823","21426","195639","1137006","2112668.12","2.90","6427","64892591000","79745508000"
"足立","53.25","688177","345233","25887","236348","1053211","3248351.16","4.81","7899","47203112000","101339118000"
"葛飾","34.80","462122","232484","17953","142902","725724","1982559.56","4.42","4886","33003364000","70880569000"
"江戸川","49.90","697695","341599","21840","196949","1076123","7698038.47","11.18","4948","52542168000","90645060000"
"境界未定","8.60",,,"539","21243",,,,,,
"23区に占める港区の割合[%]","3.25","2.71","2.84","7.48","12.58","2.55","3.45",,"2.56","7.38","0"
"順位","12","17","17","1","2","16","11","5","18","2","23"

"平成30年度港区行政資料集　２３区勢一覧","Ver201803",,,,,,,,,,
