"道路種別名","指定道路図","住所","指定道路2","指定道路3","指定道路4","経度","緯度","分類"
"法第42条第1項第1号道路(区道）","","","","","","139.630715536545","35.7228110260108","法第42条第1項第1号道路(区道）"
"法第42条第1項第5号道路","1242","白鷺3-20･21","","","","139.629449030462","35.7208997560697","法第42条第1項第5号道路"
"法第42条第1項第1号道路(区道）","","","","","","139.629203080771","35.7216820499024","法第42条第1項第1号道路(区道）"
"法第42条第1項第5号道路","1255","白鷺3-23","","","","139.628366981308","35.7221638337987","法第42条第1項第5号道路"
"法第42条第2項道路","","","","","","139.629211644513","35.7221770913903","法第42条第2項道路"
"法第42条第2項道路","","","","","","139.62954697211","35.7225777942895","法第42条第2項道路"
"法第42条第1項第5号道路","1168","白鷺3-18","","","","139.629848163678","35.7221091569854","法第42条第1項第5号道路"
"法第42条第1項第1号道路(区道）","","","","","","139.630829534068","35.7222861736372","法第42条第1項第1号道路(区道）"
"法第42条第2項道路","","","","","","139.630373155778","35.7212151736973","法第42条第2項道路"
"法第42条第1項第5号道路","1441","白鷺3-21","","","","139.629110067126","35.7211762520846","法第42条第1項第5号道路"
"法第42条第1項第1号道路(区道）","","","","","","139.628538200286","35.7219984026433","法第42条第1項第1号道路(区道）"
"法第42条第1項第1号道路(区道）","","","","","","139.62902120612","35.7230265170421","法第42条第1項第1号道路(区道）"
"法第42条第1項第1号道路(区道）","","","","","","139.629011098398","35.7227272625941","法第42条第1項第1号道路(区道）"
"その他基準法指定外道路","","","","","","139.626391186377","35.7270711921227","その他基準法指定外道路"
"法第42条第1項第1号道路(区道）","","","","","","139.626791807352","35.7256159984205","法第42条第1項第1号道路(区道）"
"法第42条第2項道路","","","","","","139.627453815555","35.7266727143767","法第42条第2項道路"
"法第42条第1項第1号道路(区道）","","","","","","139.630021568765","35.7255365186111","法第42条第1項第1号道路(区道）"
"法第42条第1項第1号道路(区道）","","","","","","139.629549845923","35.7254088978567","法第42条第1項第1号道路(区道）"
"法第42条第1項第1号道路(区道）","","","","","","139.628571958276","35.7254553855813","法第42条第1項第1号道路(区道）"
"法第42条第2項道路","","","","","","139.626967236487","35.7252849020715","法第42条第2項道路"
"法第42条第1項第1号道路(区道）","","","","","","139.627747270161","35.7251543106657","法第42条第1項第1号道路(区道）"
"法第42条第1項第5号道路","1159","鷺宮6-17･7","","","","139.627430104615","35.7243812678531","法第42条第1項第5号道路"
"法第42条第1項第1号道路(区道）","","","","","","139.627540016615","35.7240804116301","法第42条第1項第1号道路(区道）"
"法第42条第1項第5号道路","1408","上鷺宮5-8","","","","139.626712469233","35.7280793884413","法第42条第1項第5号道路"
"法第42条第1項第1号道路(区道）","","","","","","139.626492244319","35.7275950404678","法第42条第1項第1号道路(区道）"
