番号,区市,地区名,施行者,施行地区面積(ha),都市計画決定年月日,事業計画認可年月日,進捗状況
1,板橋区,板橋三丁目,組合,0.4,2006/11/2,2007/3/26,平成22年完了
2,足立区,関原一丁目中央,個人,0.4,2007/9/26,2010/4/13,平成25年完了
3,墨田区,京島三丁目,機構,0.2,2009/11/6,2010/8/3,平成25年完了
4,品川区,荏原町駅前,組合,0.1,2012/10/31,2013/4/10,平成28年完了
5,目黒区,目黒本町五丁目24番,組合,0.06,2013/12/27,2015/1/19,平成28年完了
6,品川区,中延二丁目旧同潤会,組合,0.7,2015/4/17,2016/2/12,平成31年完了
7,新宿区,西新宿五丁目北,組合,2.4,2015/8/25,2016/12/6,事業中
8,北区,志茂三丁目９番,組合,0.06,2018/11/1,2019/3/27,令和3年完了
9,北区,上十条一丁目４番,組合,0.2,2019/8/22,2020/3/18,令和5年完了
10,目黒区,原町一丁目7番・8番,組合,0.4,2019/10/25,2020/6/23,事業中
11,豊島区,池袋本町三丁目20・21番南,組合,0.2,2020/1/28,2020/7/2,令和5年完了
12,品川区,東中延一丁目11番,組合,0.2,2022/3/10,2022/10/25,事業中
13,墨田区,東向島二丁目22番,組合,0.2,2022/4/1,2023/4/14,事業中
