"年[西暦]","木造[件]","鉄骨鉄筋コンクリート造[件]","鉄筋コンクリート造[件]","鉄骨造[件]","コンクリートブロック[件]","その他[件]"
2013,4,1,10,27,0,1
2014,3,1,14,20,0,2
2015,2,1,10,17,0,0
2016,2,2,8,22,0,1
2017,4,3,17,21,0,1

"平成30年度港区行政資料集　建築物確認申請件数","Ver201803",,,,,
