区分,構成比(%)
ルール自体を知らなかったから,22
守らなくても危険だと感じないから,17.7
守るのが面倒だから（急いでいるから）,14.2
周りの人も守っていないから,8.5
特に理由はない,12.8
その他,27.7
無回答,21.3
