区分,団体数,団体数／割合(%)
公園,449,43.4
空き地・廃屋,282,27.3
駐車場や駐輪場,239,23.1
通学路,228,22.1
通勤や買い物など日常的に使う生活道路,213,20.6
駅周辺,175,16.9
特になし,170,16.4
繁華街,141,13.6
ゲームセンター・映画館など娯楽施設,129,12.5
河川敷,108,10.4
自宅周辺,95,9.2
アダルトショップや風俗店などがある環境,89,8.6
大型商業施設（スーパー・デパート等）,58,5.6
工事現場,58,5.6
学校,33,3.2
公共交通機関の中,27,2.6
その他,35,3.4
無回答,48,4.6
