行政区,区数,委員数（人）
総数,717,"44,379"
区部計,337,"24,494"
千代田区,4,108
中央区,19,923
港区,10,762
新宿区,10,907
文京区,9,749
台東区,11,659
墨田区,10,"1,300"
江東区,9,541
品川区,13,873
目黒区,22,399
大田区,18,"1,169"
世田谷区,28,"1,382"
渋谷区,11,435
中野区,14,767
杉並区,17,962
豊島区,12,488
北区,19,"2,071"
荒川区,5,592
板橋区,18,"2,193"
練馬区,17,"2,225"
足立区,25,"1,667"
葛飾区,19,"1,741"
江戸川区,17,"1,581"
市部計,334,"19,244"
八王子市,37,"2,636"
立川市,12,841
武蔵野市,12,"1,457"
三鷹市,15,831
青梅市,11,425
府中市,11,664
昭島市,13,780
調布市,20,659
町田市,24,"1,581"
小金井市,6,231
小平市,19,"1,335"
日野市,8,479
東村山市,7,717
国分寺市,5,155
国立市,8,299
福生市,31,504
狛江市,4,144
東大和市,10,535
清瀬市,5,283
東久留米市,7,462
武蔵村山市,9,405
多摩市,15,948
稲城市,10,610
羽村市,7,350
あきる野市,10,839
西東京市,18,"1,074"
西多摩郡計,24,371
瑞穂町,6,264
日の出町,2,37
檜原村,―,―
奥多摩町,16,70
島嶼部計,22,270
大島町,7,7
利島村,―,―
新島村,1,6
神津島村,1,2
三宅村,5,5
御蔵島村,―,―
八丈町,8,250
青ヶ島村,―,―
小笠原村,―,―
