区分,池上通り（平日）／実験前／7時台,池上通り（平日）／実験前／8時台,池上通り（平日）／実験前／9時台,池上通り（平日）／実験前／10時台,池上通り（平日）／実験前／11時台,池上通り（平日）／実験前／12時台,池上通り（平日）／実験前／13時台,池上通り（平日）／実験前／14時台,池上通り（平日）／実験前／15時台,池上通り（平日）／実験前／16時台,池上通り（平日）／実験前／17時台,池上通り（平日）／実験前／18時台,池上通り（平日）／実験中／7時台,池上通り（平日）／実験中／8時台,池上通り（平日）／実験中／9時台,池上通り（平日）／実験中／10時台,池上通り（平日）／実験中／11時台,池上通り（平日）／実験中／12時台,池上通り（平日）／実験中／13時台,池上通り（平日）／実験中／14時台,池上通り（平日）／実験中／15時台,池上通り（平日）／実験中／16時台,池上通り（平日）／実験中／17時台,池上通り（平日）／実験中／18時台,池上通り（休日）／実験前／11時台,池上通り（休日）／実験前／12時台,池上通り（休日）／実験前／13時台,池上通り（休日）／実験前／14時台,池上通り（休日）／実験前／15時台,池上通り（休日）／実験前／16時台,池上通り（休日）／実験中／11時台,池上通り（休日）／実験中／12時台,池上通り（休日）／実験中／13時台,池上通り（休日）／実験中／14時台,池上通り（休日）／実験中／15時台,池上通り（休日）／実験中／16時台
歩道上（台）,56,98,119,250,289,203,197,218,246,294,274,234,56,100,144,291,369,331,328,321,366,341,397,351,361,344,272,363,334,371,358,373,263,264,334,310
車道ナビ順守（台）,18,12,7,10,8,7,7,9,9,25,23,27,22,28,10,26,15,22,20,26,28,26,25,19,19,20,26,27,33,34,19,17,13,20,28,33
車道ナビ非順守（台）,1,13,7,3,6,4,3,3,1,5,1,6,3,6,7,5,9,23,13,4,8,6,15,14,6,7,4,4,7,10,11,15,13,8,9,8
ナビ順守率(%),24,10,5,4,3,3,3,4,4,8,8,10,27,21,6,8,4,6,6,7,7,7,6,5,5,5,9,7,9,8,5,4,4,7,8,9
