区分,はい構成比(%),いいえ構成比(%),無回答構成比(%)
(1)道路交通法上、自転車は軽車両であり、原則、車道の左側を通行しなければならない,91.8,5.4,2.7
(2)信号の遵守、一時停止場所での停止、安全確認を行い走行しなければならない,92.1,4.9,3
(3)自転車が歩道を通行する場合は、歩行者を優先させ、歩道の車道寄りを徐行しなければならない,84.8,12.2,3
(4)自転車も車同様、飲酒運転をしてはならない,90.2,7.1,2.7
(5)夜間はライトを点灯しなければならない,96.2,1.6,2.2
(6)携帯電話を使用したり、傘差し運転をしてはならない,93.8,3.8,2.4
(7)イヤホンで音楽を聴く等により、安全運転に必要な音が聞こえない状態で運転してはならない,90.5,6.8,2.7
(8)自転車同士は並んで走ってはいけない,77.7,20.1,2.2
(9)13歳未満の子どもの保護者は、子どもに乗車用のヘルメットをかぶらせるよう努めなければならない,64.9,32.1,3
(10)ブレーキを備えていない自転車を道路で運転してはならない,94,3.8,2.2
(11)二人乗りをしてはならない,92.1,5.7,2.2
