区分,数量,ある構成比(%),ない構成比(%),無回答構成比(%),,,,,
全体,216,47.7,51.9,0.5,,,,,
15～19歳,40,30,70,0,,,,,
20～29歳,34,38.2,61.8,0,,,,,
30～39歳,47,57.4,42.6,0,,,,,
40～49歳,25,52,44,4,,,,,
50～59歳,18,55.6,44.4,0,,,,,
60～69歳,31,67.7,32.3,0,,,,,
70歳以上,19,31.6,68.4,0,,,,,
