区分,ｎ(団体数),５学校／連携を希望している(%),５学校／連携を希望しない(%),ｎ(団体数),６地元企業・会社／連携を希望している(%),６地元企業・会社／連携を希望しない(%),ｎ(団体数),７地元区市町村／連携を希望している(%),７地元区市町村／連携を希望しない(%),ｎ(団体数),８東京都／連携を希望している(%),８東京都／連携を希望しない(%)
全体,387,83.2,16.8,360,49.7,50.3,357,80.7,19.3,369,66.9,33.1
区市町村／千代田区,7,85.7,14.3,6,83.3,16.7,4,75,25,3,100,0
区市町村／中央区,4,100,0,4,25,75,4,50,50,5,40,60
区市町村／港区,7,100,0,5,100,0,6,100,0,4,100,0
区市町村／新宿区,6,83.3,16.7,5,100,0,5,100,0,5,100,0
区市町村／文京区,11,54.5,45.5,10,40,60,11,54.5,45.5,8,25,75
区市町村／台東区,9,77.8,22.2,6,100,0,7,85.7,14.3,7,57.1,42.9
区市町村／墨田区,13,76.9,23.1,15,26.7,73.3,12,91.7,8.3,15,80,20
区市町村／江東区,20,90,10,13,61.5,38.5,17,88.2,11.8,17,88.2,11.8
区市町村／品川区,14,100,0,8,50,50,13,100,0,9,100,0
区市町村／目黒区,2,100,0,2,100,0,2,100,0,2,100,0
区市町村／大田区,15,93.3,6.7,17,52.9,47.1,12,75,25,15,46.7,53.3
区市町村／世田谷区,19,84.2,15.8,20,65,35,16,81.3,18.8,16,68.8,31.3
区市町村／渋谷区,6,83.3,16.7,7,71.4,28.6,6,83.3,16.7,7,85.7,14.3
区市町村／中野区,9,55.6,44.4,7,42.9,57.1,10,70,30,10,50,50
区市町村／杉並区,25,76,24,25,32,68,23,69.6,30.4,25,48,52
区市町村／豊島区,4,75,25,4,75,25,4,75,25,4,50,50
区市町村／北区,2,100,0,2,100,0,0,0,0,1,100,0
区市町村／荒川区,8,87.5,12.5,7,42.9,57.1,7,71.4,28.6,10,80,20
区市町村／板橋区,13,100,0,7,42.9,57.1,10,90,10,9,66.7,33.3
区市町村／練馬区,6,83.3,16.7,7,42.9,57.1,7,100,0,7,100,0
区市町村／足立区,21,85.7,14.3,22,50,50,23,82.6,17.4,20,55,45
区市町村／葛飾区,4,100,0,5,60,40,3,100,0,3,100,0
区市町村／江戸川区,10,70,30,8,50,50,8,87.5,12.5,7,57.1,42.9
区市町村／八王子市,17,70.6,29.4,15,46.7,53.3,15,86.7,13.3,16,81.3,18.8
区市町村／立川市,7,100,0,6,66.7,33.3,6,100,0,7,85.7,14.3
区市町村／武蔵野市,3,100,0,2,0,100,2,50,50,6,66.7,33.3
区市町村／三鷹市,2,50,50,2,50,50,2,100,0,2,100,0
区市町村／青梅市,8,87.5,12.5,13,23.1,76.9,8,87.5,12.5,13,53.8,46.2
区市町村／府中市,9,88.9,11.1,8,37.5,62.5,9,55.6,44.4,9,55.6,44.4
区市町村／昭島市,7,71.4,28.6,6,50,50,8,75,25,8,37.5,62.5
区市町村／調布市,7,71.4,28.6,5,60,40,4,50,50,6,33.3,66.7
区市町村／町田市,21,95.2,4.8,25,44,56,22,77.3,22.7,26,73.1,26.9
区市町村／小金井市,6,66.7,33.3,4,50,50,4,75,25,3,33.3,66.7
区市町村／小平市,1,100,0,1,100,0,1,100,0,1,100,0
区市町村／日野市,0,0,0,0,0,0,1,100,0,1,100,0
区市町村／東村山市,11,72.7,27.3,11,63.6,36.4,11,72.7,27.3,13,84.6,15.4
区市町村／国分寺市,2,100,0,1,100,0,2,100,0,2,100,0
区市町村／国立市,0,0,0,0,0,0,0,0,0,1,100,0
区市町村／福生市,5,100,0,6,33.3,66.7,5,60,40,4,50,50
区市町村／狛江市,0,0,0,0,0,0,0,0,0,0,0,0
区市町村／東大和市,9,88.9,11.1,9,44.4,55.6,8,100,0,8,75,25
区市町村／清瀬市,3,100,0,2,100,0,4,100,0,3,100,0
区市町村／東久留米市,1,100,0,1,100,0,1,100,0,1,100,0
区市町村／武蔵村山市,3,66.7,33.3,3,66.7,33.3,2,100,0,2,100,0
区市町村／多摩市,2,50,50,2,0,100,2,50,50,2,100,0
区市町村／稲城市,7,85.7,14.3,5,20,80,8,100,0,5,60,40
区市町村／羽村市,0,0,0,1,100,0,0,0,0,1,100,0
区市町村／あきる野市,9,88.9,11.1,10,30,70,10,70,30,9,55.6,44.4
区市町村／西東京市,1,100,0,1,100,0,1,100,0,1,100,0
区市町村／瑞穂町,4,75,25,3,33.3,66.7,4,75,25,3,33.3,66.7
区市町村／日の出町,6,66.7,33.3,5,20,80,6,66.7,33.3,6,16.7,83.3
区市町村／檜原村,1,0,100,1,0,100,1,0,100,1,0,100
