区分,設置前より減ったと思う構成比(%),変わらないと思う構成比(%),設置前より増えたと思う構成比(%),その他構成比(%),,,
自転車（n=279）,14,72.4,1.1,12.5,,,
歩行者（n=322）,18.3,69.6,1.9,10.2,,,
自動車（n=67）,19.4,64.2,1.5,14.9,,,
