区分,自転車（円）
隅田公園、鶯谷第5、御徒町、TX浅草駅／1ヶ月／区内一般,1500 
隅田公園、鶯谷第5、御徒町、TX浅草駅／1ヶ月／区内高校生以下,1000 
隅田公園、鶯谷第5、御徒町、TX浅草駅／1ヶ月／区外一般,2500 
上記以外／1ヶ月／区内一般,2000 
上記以外／1ヶ月／区内高校生以下,1500 
上記以外／1ヶ月／区外一般,3000 
