構成比(%),ｎ(団体数),活動内容（防犯パトロールを含む活動内容組み合わせ）／パトロールのみ(%),活動内容（防犯パトロールを含む活動内容組み合わせ）／２つの活動(%),活動内容（防犯パトロールを含む活動内容組み合わせ）／３つの活動(%),活動内容（防犯パトロールを含む活動内容組み合わせ）／４つの活動(%),活動内容（防犯パトロールを含む活動内容組み合わせ）／５つ以上の活動(%)
全体,948,12.3,21.7,21.7,17.4,26.8
区市町村／千代田区,9,11.1,22.2,0,33.3,33.3
区市町村／中央区,5,40,20,20,0,20
区市町村／港区,12,25,16.7,16.7,25,16.7
区市町村／新宿区,15,6.7,13.3,26.7,33.3,20
区市町村／文京区,21,28.6,14.3,19,28.6,9.5
区市町村／台東区,14,14.3,35.7,28.6,14.3,7.1
区市町村／墨田区,36,8.3,22.2,22.2,22.2,25
区市町村／江東区,47,12.8,23.4,12.8,17,34
区市町村／品川区,25,4,24,4,24,44
区市町村／目黒区,6,0,0,66.7,16.7,16.7
区市町村／大田区,50,8,18,28,16,30
区市町村／世田谷区,42,11.9,14.3,16.7,14.3,42.9
区市町村／渋谷区,23,4.3,30.4,17.4,26.1,21.7
区市町村／中野区,26,23.1,11.5,15.4,11.5,38.5
区市町村／杉並区,72,13.9,20.8,31.9,13.9,19.4
区市町村／豊島区,11,9.1,27.3,45.5,9.1,9.1
区市町村／北区,10,0,20,20,40,20
区市町村／荒川区,24,20.8,29.2,16.7,16.7,16.7
区市町村／板橋区,42,7.1,16.7,23.8,19,33.3
区市町村／練馬区,21,9.5,23.8,14.3,28.6,23.8
区市町村／足立区,61,19.7,27.9,16.4,13.1,23
区市町村／葛飾区,14,21.4,14.3,7.1,14.3,42.9
区市町村／江戸川区,15,13.3,13.3,26.7,13.3,33.3
区市町村／八王子市,43,11.6,18.6,25.6,11.6,32.6
区市町村／立川市,12,8.3,33.3,8.3,25,25
区市町村／武蔵野市,11,0,27.3,9.1,18.2,45.5
区市町村／三鷹市,4,0,0,50,0,50
区市町村／青梅市,13,15.4,23.1,15.4,23.1,23.1
区市町村／府中市,19,21.1,21.1,10.5,10.5,36.8
区市町村／昭島市,17,5.9,23.5,29.4,29.4,11.8
区市町村／調布市,16,12.5,25,25,12.5,25
区市町村／町田市,58,10.3,12.1,32.8,15.5,29.3
区市町村／小金井市,8,12.5,25,37.5,25,0
区市町村／小平市,3,33.3,33.3,0,0,33.3
区市町村／日野市,3,0,0,0,33.3,66.7
区市町村／東村山市,24,12.5,37.5,8.3,20.8,20.8
区市町村／国分寺市,5,20,20,0,20,40
区市町村／国立市,1,0,0,100,0,0
区市町村／福生市,11,9.1,9.1,36.4,9.1,36.4
区市町村／狛江市,2,0,0,0,50,50
区市町村／東大和市,12,8.3,25,8.3,16.7,41.7
区市町村／清瀬市,7,14.3,28.6,14.3,28.6,14.3
区市町村／東久留米市,1,0,0,0,0,100
区市町村／武蔵村山市,9,0,22.2,33.3,11.1,33.3
区市町村／多摩市,6,33.3,16.7,0,33.3,16.7
区市町村／稲城市,13,0,23.1,46.2,0,30.8
区市町村／羽村市,3,0,0,66.7,33.3,0
区市町村／あきる野市,20,10,40,30,10,10
区市町村／西東京市,4,0,25,0,0,75
区市町村／瑞穂町,5,0,80,20,0,0
区市町村／日の出町,16,25,37.5,25,12.5,0
区市町村／檜原村,1,0,0,0,100,0
