区分,仕事（勤務先）構成比(%),仕事（取引先）構成比(%),通学構成比(%),買い物構成比(%),レジャー構成比(%),通院構成比(%),習い事・塾構成比(%),その他構成比(%)
自転車（n=422）,13.0,3.1,0.9,66.6,0.0,2.4,2.8,11.1
歩行者（n=431）,26.2,1.6,1.2,43.6,0.2,3.7,1.9,21.6
