区分,自転車,歩行者,自動車
ナビマークについて,15,7,-
路上駐車対策,29,14,-
路上看板・店舗前自転車等の規制,6,11,1
駐輪場整備,10,11,-
交通ルール徹底・マナー向上・規制強化,167,177,10
自転車走行空間の整備,44,55,2
その他,42,50,3
