区分,設置前より良くなったと思う構成比(%),変わらないと思う構成比(%),設置前より悪くなったと思う構成比(%),その他構成比(%)
自転車（n=421）,15.2,72.9,0.2,11.6
歩行者（n=454）,16.7,75.6,0.9,6.8
自動車（n=42）,9.5,64.3,19.0,7.1
