区分,調査数,調査数／割合(%),通勤・通学（一部利用も含む）,通勤・通学（一部利用も含む）／割合(%),買物,買物／割合(%),業務・仕事,業務・仕事／割合(%),余暇活動（遊びに行く・サイクリング等）,余暇活動（遊びに行く・サイクリング等）／割合(%),子供の送り迎え,子供の送り迎え／割合(%),その他,その他／割合(%),無回答,無回答／割合(%)
全体,216,100.0 ,94,43.5 ,166,76.9 ,29,13.4 ,100,46.3 ,12,5.6 ,4,1.9 ,3,1.4 
15～19歳,40,100.0 ,26,65.0 ,26,65.0 ,4,10.0 ,27,67.5 ,-,-,1,2.5 ,-,-
20～29歳,34,100.0 ,18,52.9 ,28,82.4 ,4,11.8 ,17,50.0 ,2,5.9 ,-,-,-,-
30～39歳,47,100.0 ,25,53.2 ,39,83.0 ,2,4.3 ,20,42.6 ,5,10.6 ,-,-,-,-
40～49歳,25,100.0 ,11,44.0 ,20,80.0 ,5,20.0 ,11,44.0 ,5,20.0 ,1,4.0 ,1,4.0 
50～59歳,18,100.0 ,7,38.9 ,15,83.3 ,4,22.2 ,4,22.2 ,-,-,-,-,-,-
60～69歳,31,100.0 ,7,22.6 ,20,64.5 ,6,19.4 ,13,41.9 ,-,-,1,3.2 ,-,-
70歳以上,19,100.0 ,-,-,18,94.7 ,4,21.1 ,8,42.1 ,-,-,1,5.3 ,-,-
