区分,構成比(%)
買物,76.9
余暇活動（遊びに行く・サイクリング等）,46.3
通勤・通学（一部利用も含む）,43.5
業務・仕事,13.4
子供の送り迎え,5.6
その他,1.9
無回答,1.4
