区分,ｎ(団体数),１町会・自治会／連携を希望している(%),１町会・自治会／連携を希望しない(%),ｎ(団体数),２防犯協会／連携を希望している(%),２防犯協会／連携を希望しない(%),ｎ(団体数),３商店会／連携を希望している(%),３商店会／連携を希望しない(%),ｎ(団体数),４ＰＴＡ／連携を希望している(%),４ＰＴＡ／連携を希望しない(%)
全体,432,86.6,13.4,392,87,13,356,51.4,48.6,387,78.3,21.7
区市町村／千代田区,4,100,0,6,83.3,16.7,4,50,50,6,66.7,33.3
区市町村／中央区,4,50,50,4,50,50,4,25,75,4,100,0
区市町村／港区,6,100,0,7,100,0,5,80,20,7,100,0
区市町村／新宿区,9,88.9,11.1,7,100,0,6,83.3,16.7,6,83.3,16.7
区市町村／文京区,11,54.5,45.5,12,58.3,41.7,9,33.3,66.7,11,54.5,45.5
区市町村／台東区,9,100,0,9,100,0,5,80,20,9,66.7,33.3
区市町村／墨田区,13,84.6,15.4,12,91.7,8.3,13,46.2,53.8,12,66.7,33.3
区市町村／江東区,21,90.5,9.5,17,88.2,11.8,13,53.8,46.2,19,89.5,10.5
区市町村／品川区,12,91.7,8.3,11,100,0,8,50,50,13,100,0
区市町村／目黒区,3,100,0,2,100,0,1,100,0,2,100,0
区市町村／大田区,16,93.8,6.3,15,73.3,26.7,14,57.1,42.9,15,93.3,6.7
区市町村／世田谷区,16,81.3,18.8,18,88.9,11.1,16,68.8,31.3,18,83.3,16.7
区市町村／渋谷区,7,85.7,14.3,8,100,0,7,71.4,28.6,5,80,20
区市町村／中野区,12,83.3,16.7,11,81.8,18.2,13,61.5,38.5,9,55.6,44.4
区市町村／杉並区,30,73.3,26.7,23,73.9,26.1,26,57.7,42.3,28,71.4,28.6
区市町村／豊島区,4,100,0,4,75,25,3,100,0,4,100,0
区市町村／北区,3,100,0,2,100,0,1,100,0,0,0,0
区市町村／荒川区,8,100,0,8,100,0,5,40,60,7,85.7,14.3
区市町村／板橋区,21,90.5,9.5,18,100,0,10,70,30,12,100,0
区市町村／練馬区,7,71.4,28.6,7,85.7,14.3,7,42.9,57.1,7,85.7,14.3
区市町村／足立区,27,92.6,7.4,25,96,4,20,45,55,22,72.7,27.3
区市町村／葛飾区,6,100,0,5,100,0,4,75,25,5,100,0
区市町村／江戸川区,13,92.3,7.7,9,77.8,22.2,10,60,40,10,70,30
区市町村／八王子市,18,94.4,5.6,19,100,0,16,43.8,56.3,17,64.7,35.3
区市町村／立川市,12,100,0,9,100,0,8,75,25,7,100,0
区市町村／武蔵野市,5,80,20,4,75,25,3,33.3,66.7,4,75,25
区市町村／三鷹市,3,100,0,2,100,0,2,50,50,2,50,50
区市町村／青梅市,8,87.5,12.5,7,100,0,13,23.1,76.9,7,71.4,28.6
区市町村／府中市,10,80,20,9,100,0,8,37.5,62.5,10,70,30
区市町村／昭島市,6,100,0,6,100,0,7,42.9,57.1,6,83.3,16.7
区市町村／調布市,6,66.7,33.3,4,50,50,5,40,60,7,71.4,28.6
区市町村／町田市,24,87.5,12.5,23,73.9,26.1,23,43.5,56.5,22,77.3,22.7
区市町村／小金井市,5,80,20,4,50,50,4,25,75,5,60,40
区市町村／小平市,1,100,0,1,100,0,1,100,0,1,100,0
区市町村／日野市,1,0,100,1,100,0,0,0,0,0,0,0
区市町村／東村山市,9,66.7,33.3,10,100,0,10,60,40,13,76.9,23.1
区市町村／国分寺市,2,100,0,2,100,0,2,100,0,2,100,0
区市町村／国立市,0,0,0,0,0,0,0,0,0,1,100,0
区市町村／福生市,4,100,0,5,80,20,5,20,80,4,75,25
区市町村／狛江市,0,0,0,0,0,0,0,0,0,0,0,0
区市町村／東大和市,7,85.7,14.3,6,83.3,16.7,9,44.4,55.6,9,77.8,22.2
区市町村／清瀬市,5,80,20,4,100,0,3,100,0,3,100,0
区市町村／東久留米市,1,100,0,0,0,0,1,100,0,1,100,0
区市町村／武蔵村山市,5,80,20,2,100,0,3,66.7,33.3,3,66.7,33.3
区市町村／多摩市,2,100,0,2,50,50,2,0,100,2,0,100
区市町村／稲城市,9,88.9,11.1,9,100,0,4,25,75,6,83.3,16.7
区市町村／羽村市,2,100,0,1,100,0,1,100,0,1,100,0
区市町村／あきる野市,12,91.7,8.3,10,80,20,10,30,70,10,80,20
区市町村／西東京市,2,100,0,1,100,0,1,100,0,2,100,0
区市町村／瑞穂町,3,100,0,3,66.7,33.3,3,33.3,66.7,4,75,25
区市町村／日の出町,7,71.4,28.6,7,57.1,42.9,7,14.3,85.7,6,66.7,33.3
区市町村／檜原村,1,0,100,1,0,100,1,0,100,1,0,100
