区分,数量,週4日以上利用する構成比(%),週に2、3日利用する構成比(%),週に1日利用する構成比(%),ほとんど利用しない構成比(%),無回答構成比(%)
全体,262,42.4,20.2,17.9,19.1,0.4
15～19歳,49,49,12.2,20.4,18.4,0
20～29歳,45,37.8,22.2,15.6,24.4,0
30～39歳,61,39.3,18,19.7,23,0
40～49歳,33,36.4,18.2,18.2,27.3,0
50～59歳,20,50,20,20,10,0
60～69歳,34,50,23.5,14.7,8.8,2.9
70歳以上,20,35,40,15,10,0
