区分,設置前より良くなったと思う構成比(%),変わらないと思う構成比(%),設置前より悪くなったと思う構成比(%),その他構成比(%),,,
自転車（n=281）,16,72.2,1.4,10.3,,,
歩行者（n=322）,13.4,73.9,2.8,9.9,,,
自動車（n=68）,16.2,67.6,1.5,14.7,,,
