年度,結成数,結成数／割合(%),
H14年以前,527,51.0,
H15,66,6.4,
H16,115,11.1,
H17,77,7.4,
H18,67,6.5,
H19,41,4.0,
H20,19,1.8,
H21,17,1.6,
H22,22,2.1,
無回答,83,8.0,

