No.,区市町村,ｎ,%
1,千代田区,13,1.3
2,中央区,6,0.6
3,港区,13,1.3
4,新宿区,17,1.6
5,文京区,25,2.4
6,台東区,16,1.5
7,墨田区,37,3.6
8,江東区,49,4.7
9,品川区,27,2.6
10,目黒区,7,0.7
11,大田区,53,5.1
12,世田谷区,44,4.3
13,渋谷区,24,2.3
14,中野区,32,3.1
15,杉並区,75,7.3
16,豊島区,12,1.2
17,北区,10,1
18,荒川区,26,2.5
19,板橋区,46,4.4
20,練馬区,22,2.1
21,足立区,65,6.3
22,葛飾区,17,1.6
23,江戸川区,18,1.7
24,八王子市,46,4.4
25,立川市,17,1.6
26,武蔵野市,12,1.2
27,三鷹市,5,0.5
28,青梅市,17,1.6
29,府中市,21,2
30,昭島市,17,1.6
31,調布市,19,1.8
32,町田市,60,5.8
33,小金井市,10,1
34,小平市,4,0.4
35,日野市,3,0.3
36,東村山市,24,2.3
37,国分寺市,5,0.5
38,国立市,2,0.2
39,福生市,11,1.1
40,狛江市,2,0.2
41,東大和市,15,1.5
42,清瀬市,10,1
43,東久留米市,1,0.1
44,武蔵村山市,10,1
45,多摩市,6,0.6
46,稲城市,13,1.3
47,羽村市,3,0.3
48,あきる野市,21,2
49,西東京市,4,0.4
50,瑞穂町,5,0.5
51,日の出町,16,1.5
52,檜原村,1,0.1
53,奥多摩町,－,－
54,大島町,－,－
55,利島村,－,－
56,新島村,－,－
57,神津島村,－,－
58,三宅村,－,－
59,御蔵島村,－,－
60,八丈町,－,－
61,青ヶ島村,－,－
62,小笠原村,－,－
,全体,1034,100
