区市町,自転車（台）／平成28年,自転車（台）／平成27年,自転車（台）／平成26年,原付（台）／平成28年,原付（台）／平成27年,原付（台）／平成26年,自二（台）／平成28年,自二（台）／平成27年,自二（台）／平成26年,計（台）／平成28年,計（台）／平成27年,計（台）／平成26年
千代田区,3048,3241,2635,55,159,184,70,124,128,3173,3524,2947
中央区,1627,1596,2933,19,34,54,43,15,45,1689,1645,3032
港区,1531,1881,2259,55,30,36,37,47,60,1623,1958,2355
新宿区,2012,2393,2828,44,57,77,38,52,65,2094,2502,2970
文京区,1075,961,1311,51,29,52,20,16,13,1146,1006,1376
台東区,1955,2272,2889,66,77,109,35,38,72,2056,2387,3070
墨田区,1110,1287,1334,121,166,166,71,83,109,1302,1536,1609
江東区,1202,1511,1779,98,124,109,60,90,85,1360,1725,1973
品川区,1167,1165,1138,64,77,100,14,27,34,1245,1269,1272
目黒区,355,330,443,30,34,43,33,26,43,418,390,529
大田区,1259,1368,1515,64,91,76,96,108,91,1419,1567,1682
世田谷区,1852,2248,2559,95,145,150,125,144,166,2072,2537,2875
渋谷区,2571,535,553,87,30,39,67,34,42,2725,599,634
中野区,791,836,750,56,79,106,43,75,48,890,990,904
杉並区,976,1187,1380,122,123,145,71,73,115,1169,1383,1640
豊島区,692,877,803,37,48,51,23,29,30,752,954,884
北区,1290,1525,1677,59,49,53,27,18,21,1376,1592,1751
荒川区,558,502,522,13,21,12,0,0,0,571,523,534
板橋区,1683,2321,2189,138,139,141,71,109,104,1892,2569,2434
練馬区,587,655,646,46,34,31,25,37,44,658,726,721
足立区,120,173,179,14,22,23,12,13,1,146,208,203
葛飾区,632,618,759,94,77,111,0,0,0,726,695,870
江戸川区,244,247,272,21,19,31,0,0,0,265,266,303
八王子市,406,393,469,64,65,60,34,37,53,504,495,582
立川市,487,466,653,22,9,23,7,10,9,516,485,685
武蔵野市,118,153,135,4,9,3,3,3,1,125,165,139
三鷹市,143,146,182,1,6,12,7,3,8,151,155,202
青梅市,11,19,21,5,5,0,0,0,0,16,24,21
府中市,213,127,179,7,3,21,3,5,3,223,135,203
昭島市,6,9,17,0,0,0,0,0,0,6,9,17
調布市,232,336,560,4,12,35,4,8,14,240,356,609
町田市,47,168,138,11,26,15,1,0,5,59,194,158
小金井市,13,52,17,0,2,0,0,0,0,13,54,17
小平市,57,67,63,5,4,6,0,0,0,62,71,69
日野市,334,301,596,42,16,27,15,11,14,391,328,637
東村山市,209,455,383,1,42,14,0,13,3,210,510,400
国分寺市,26,38,62,23,5,14,3,0,0,52,43,76
国立市,49,81,122,0,0,0,0,0,0,49,81,122
福生市,12,309,355,2,16,17,0,0,0,14,325,372
狛江市,50,93,100,2,9,14,0,0,0,52,102,114
東大和市,409,429,720,0,0,4,0,0,0,409,429,724
清瀬市,16,39,32,1,0,2,0,0,0,17,39,34
東久留米市,56,39,67,0,4,1,0,0,0,56,43,68
多摩市,42,40,84,3,4,6,3,4,4,48,48,94
稲城市,0,58,43,7,1,1,5,0,0,12,59,44
羽村市,10,8,1,0,0,0,0,0,0,10,8,1
あきる野市,2,29,6,0,1,0,0,0,0,2,30,6
西東京市,187,224,167,19,15,7,12,4,2,218,243,176
瑞穂町,8,0,0,0,0,0,0,0,0,8,0,0
