区市町別,手続,撤去料／自転車（円）,撤去料／原付（円）,撤去料／自二（円）,撤去料／普通二輪車（円）,撤去料／大型二輪車（円）,保管料
千代田区,警告→撤去→告示→保管→処分,4000,6000,,,,
中央区,撤去→保管(30日)→告示→処分／ただし、機能喪失車は直ちに処分,3000,,,,,
港区,警告→撤去→告示→保管→処分,2000,3000,,,,
新宿区,警告→撤去→保管(30日)→処分,3000,5000,8000,,,
文京区,撤去→公示→保管(40日)→処分,4000,6000,,,,
台東区,移送→告示→1ヶ月→処分／ただし、機能喪失車は直ちに処分,5000,,,,,
墨田区,撤去・保管→通知又は告示→相当の期間→処分／※利用者等を確認できない機能喪失車は、直ちに処分,2000,,,,,
江東区,移送→告示又は通知→保管(30日)／ただし、機能喪失車は直ちに処分,4000,5000,,,,
品川区,警告→撤去→告示→保管(30日)／ただし、機能喪失車は直ちに処分,3000,5000,,,,
目黒区,撤去→通知又は告示→相当期間経過後処分,3000,4500,,,,
大田区,撤去→保管(30日)→処分,"3000（撤去手数料・
自転車等駐車場不適正使用）","5000（撤去手数料・
自転車等駐車場不適正使用）",10000（自転車等不適正使用）,,,
世田谷区,撤去→保管→法令に基づき処理,3000,4000,,,,
渋谷区,撤去(公示)→保管(1ヶ月)→処分,2000,3000,,,,
中野区,撤去→公示→保管(1ヶ月)→売却→処分,5000,,,,,
杉並区,撤去→保管(30日)→告示→処分／ただし、機能喪失車は直ちに処分,5000,,,,,
豊島区,  撤去→告示→保管(30日)→処分／ただし、機能喪失車は直ちに処分,5000（撤去・保管手数料）,8000（撤去・保管手数料）,,,,
北区,移送→通知又は告示→1ヶ月→処分／ただし、機能喪失車は直ちに処分,5000,,,,,
荒川区,撤去→告示→2ヶ月→処分／ただし、機能喪失車は直ちに処分,5000（移送料・手数料）,7500（移送料・手数料）,,,,
板橋区,移送→告示→1ヶ月→廃棄物とみなし処分,4000,"6000（原付または
排気量125cc以下の自二）",8000（排気量125ccを超える自二）,,,
練馬区,撤去→告示→1ヶ月→法令の定めるところにより処理,4000,7000,,,,
足立区,移送→告示→1ヶ月→処分／ただし、機能喪失車は直ちに処分,3000,5000,,,,
葛飾区,撤去→通知又は告示→保管(2ヶ月) →自転車法等により処分／ただし、機能喪失車は廃棄物処理法等により直ちに処分／又、程度のよいものは再利用告示の日から規定で定める保管期間を経過してもなお保管自転車を返還することができない場合、当該保管自転車を売却することができる,3000,,,,,
江戸川区,撤去→告示→保管(15日)→処分,3000,3500,,,,
八王子市,通告又は警告→撤去→保管(60日)→処分,3000,5000,,,,
立川市,移送→保管→告示及び通知→告示した日から２月経過後､売却→売却できなかった自転車は、廃棄物処理法その他の法律に基づく措置,2000,4000,,6000,8000,
武蔵野市,撤去→告示→30日→条例に基づき処分,3000（撤去及び保管手数料）,5000（撤去及び保管手数料）,,,,
三鷹市,撤去→通知又は告示→保管(2ヶ月)→処分(売却含む),2500,4000,,,,
青梅市,移動→通知（告示）→ 60日→売却→ 廃棄物処理法により処分,1000,2000,,,,
府中市,撤去→告示→60日→処分,2000,,,,,"14日まで無料、15日以降1日50円
限度1,000円"
昭島市,警告→撤去→保管→告示→60日→処分,2000,4000,,,,
調布市,移送→告示→30日→条例により処理,2500（移送料）,5000（移送料）,,,,
町田市,移送→表示→２ヶ月→告示→自転車法により処分,2000,4000,,,,
小金井市,撤去→2ヶ月→告示→処分,1500,3000,,,,
小平市,撤去→告示→保管(2ヶ月)→処分,2000,4000,,,,
日野市,撤去→公示→保管 (2ヶ月)→条例により処理,3000（撤去手数料）,4500（撤去手数料）,,,,
東村山市,撤去→告示→保管（60日）→処分,1100,2200,,,,
国分寺市,撤去→告示（14日）→保管（60日）→処分,2000,3000,,,,
国立市,撤去→告示(14日)→保管(2ヶ月)→処分,2000,,,,,
福生市,警告→撤去→告示→保管(3ヶ月)→所有権取得→処分,1000,2000,,,,
狛江市,警告→撤去→保管→告示→通知→処分,3000（撤去保管料）,5000（撤去保管料）,,,,
東大和市,撤去→公示→保管（6ヶ月）→処分,1000（移送料・手数料）,2000（移送料・手数料）,,,,
清瀬市,警告→撤去→保管(60日)→処分・ﾘｻｲｸﾙ,2000（移送料）,4000（移送料）,,,,
東久留米市,撤去→告示→保管(2ヶ月)→処分・リサイクル,1000,2000,,,,
多摩市,撤去→告示→保管(60日)→処分,2000,3000,,,,
稲城市,警告→撤去→保管→告示(60日)→処分,2000,3000,,,,
羽村市,撤去→保管→告示(60日)→処分,2000,3000,,,,
あきる野市,撤去→告示(通知)→60日→条例に基づき処分／ただし、機能喪失車は直ちに処分,,,,,,
西東京市,警告→撤去→保管 (60日)→告示→処分,2000,3000,,,,
瑞穂町,警告→撤去→告示(14日)→保管（2ヶ月）→処分,1000（保管手数料）,1500（保管手数料）,,,,
