区分,設置前より減ったと思う構成比(%),変わらないと思う構成比(%),設置前より増えたと思う構成比(%),その他構成比(%)
自転車（n=426）,12.7,74.9,1.4,11.0
歩行者（n=453）,14.6,77.0,1.1,7.3
自動車（n=42）,11.9,73.8,7.1,7.1
