区分,数量,した構成比(%),しない構成比(%),事例に該当する経験なし構成比(%),無回答構成比(%),,,,
全体,216,14.4,43.5,33.3,8.8,,,,
15～19歳,40,7.5,50,42.5,0,,,,
20～29歳,34,8.8,47.1,44.1,0,,,,
30～39歳,47,10.6,40.4,44.7,4.3,,,,
40～49歳,25,24,44,24,8,,,,
50～59歳,18,16.7,50,22.2,11.1,,,,
60～69歳,31,25.8,35.5,19.4,19.4,,,,
70歳以上,19,15.8,42.1,15.8,26.3,,,,
