職業,基数,構成比(%)
会社員・公務員（契約社員、アルバイトを含む）,167,45.4
自営業（家業手伝いも含む）,23,6.3
主婦（夫）,51,13.9
学生,73,19.8
無職,40,10.9
その他,10,2.7
無回答,4,1.1
