名　　称,〒,所　在　地,電　　話
東京都,〒163-8001,新宿区西新宿2-8-1青少年・治安対策本部総合対策部青少年課,03（5388）3098（直通）
特別区長会,〒102-0072,千代田区飯田橋3-5-1東京区政会館,03（5210）9738
東京都市長会,〒183-0052,府中市新町2-77-1東京自治会館内,042（384）6287
東京都町村会,〒183-0052,府中市新町2-77-1東京自治会館内,042（384）8041
