区分,数量,路上駐車、荷捌きへの対策構成比(%),自動車による自転車スペースへの幅寄せ禁止構成比(%),歩行者と自転車の空間の厳守構成比(%),歩行者の信号無視への対策構成比(%),,,,
全体,216,56,55.6,45.8,43.5,,,,
15～19歳,40,60,40,40,50,,,,
20～29歳,34,61.8,58.6,47.1,52.9,,,,
30～39歳,47,59.6,78.7,57.4,44.7,,,,
40～49歳,25,68,60,52,40,,,,
50～59歳,18,50,50,33.3,44.4,,,,
60～69歳,31,41.9,41.9,48.4,19.4,,,,
70歳以上,19,47.4,52.6,31.6,57.9,,,,
