区分,走り（歩き）やすくなったと思う構成比(%),変わらないと思う構成比(%),走り（歩き）にくくなったと思う構成比(%),その他構成比(%)
自転車（n=431）,29.5,56.6,2.8,11.1
歩行者（n=452）,18.4,72.1,1.3,8.2
自動車（n=42）,16.7,52.4,19.0,11.9
