区分,ｎ(団体数),結成年月／H14年以前(%),結成年月／H15年(%),結成年月／H16年(%),結成年月／H17年(%),結成年月／H18年(%),結成年月／H19年(%),結成年月／H20年(%),結成年月／H21年(%),結成年月／H22年(%),結成年月／無回答(%)
全体,1034,51,6.4,11.1,7.4,6.5,4,1.8,1.6,2.1,8
区市町村／千代田区,13,53.8,15.4,0,7.7,7.7,0,0,0,7.7,7.7
区市町村／中央区,6,66.7,0,16.7,0,0,0,0,0,16.7,0
区市町村／港区,13,61.5,0,7.7,7.7,0,0,0,0,7.7,15.4
区市町村／新宿区,17,47.1,5.9,0,11.8,5.9,5.9,11.8,0,0,11.8
区市町村／文京区,25,36,4,4,20,8,4,4,8,8,4
区市町村／台東区,16,81.3,0,12.5,0,6.3,0,0,0,0,0
区市町村／墨田区,37,56.8,10.8,5.4,13.5,5.4,0,2.7,0,0,5.4
区市町村／江東区,49,65.3,2,8.2,6.1,4.1,2,0,0,2,10.2
区市町村／品川区,27,59.3,3.7,11.1,0,7.4,3.7,3.7,0,3.7,7.4
区市町村／目黒区,7,100,0,0,0,0,0,0,0,0,0
区市町村／大田区,53,49.1,7.5,17,11.3,7.5,1.9,3.8,0,0,1.9
区市町村／世田谷区,44,45.5,20.5,9.1,2.3,4.5,9.1,2.3,0,2.3,4.5
区市町村／渋谷区,24,41.7,12.5,12.5,8.3,12.5,0,0,0,0,12.5
区市町村／中野区,32,50,0,18.8,0,3.1,9.4,0,0,3.1,15.6
区市町村／杉並区,75,14.7,16,30.7,8,6.7,4,2.7,5.3,2.7,9.3
区市町村／豊島区,12,58.3,0,0,8.3,8.3,0,0,0,0,25
区市町村／北区,10,30,0,30,0,10,0,0,10,20,0
区市町村／荒川区,26,80.8,3.8,0,0,3.8,0,0,0,0,11.5
区市町村／板橋区,46,71.7,0,6.5,0,8.7,2.2,0,2.2,2.2,6.5
区市町村／練馬区,22,50,13.6,13.6,9.1,9.1,4.5,0,0,0,0
区市町村／足立区,65,63.1,4.6,12.3,6.2,1.5,4.6,1.5,0,0,6.2
区市町村／葛飾区,17,82.4,0,0,0,0,5.9,5.9,0,0,5.9
区市町村／江戸川区,18,55.6,5.6,5.6,0,16.7,5.6,0,0,5.6,5.6
区市町村／八王子市,46,52.2,6.5,10.9,4.3,2.2,4.3,2.2,6.5,0,10.9
区市町村／立川市,17,35.3,11.8,5.9,11.8,23.5,0,0,5.9,0,5.9
区市町村／武蔵野市,12,41.7,0,0,33.3,16.7,8.3,0,0,0,0
区市町村／三鷹市,5,40,0,0,0,0,0,0,40,20,0
区市町村／青梅市,17,17.6,5.9,11.8,41.2,5.9,11.8,0,0,0,5.9
区市町村／府中市,21,85.7,0,0,0,0,4.8,0,0,0,9.5
区市町村／昭島市,17,47.1,11.8,29.4,5.9,0,5.9,0,0,0,0
区市町村／調布市,19,63.2,5.3,0,0,0,0,0,0,5.3,26.3
区市町村／町田市,60,71.7,1.7,3.3,6.7,0,3.3,0,0,1.7,11.7
区市町村／小金井市,10,60,10,20,0,0,0,0,0,10,0
区市町村／小平市,4,25,0,0,25,0,0,25,0,0,25
区市町村／日野市,3,66.7,0,0,0,0,0,0,33.3,0,0
区市町村／東村山市,24,25,8.3,16.7,12.5,25,0,4.2,0,0,8.3
区市町村／国分寺市,5,60,20,0,20,0,0,0,0,0,0
区市町村／国立市,2,50,0,0,50,0,0,0,0,0,0
区市町村／福生市,11,63.6,9.1,0,9.1,0,9.1,0,0,0,9.1
区市町村／狛江市,2,50,0,50,0,0,0,0,0,0,0
区市町村／東大和市,15,40,13.3,0,0,0,13.3,6.7,6.7,13.3,6.7
区市町村／清瀬市,10,30,10,10,10,10,10,0,0,0,20
区市町村／東久留米市,1,100,0,0,0,0,0,0,0,0,0
区市町村／武蔵村山市,10,30,0,30,0,20,0,20,0,0,0
区市町村／多摩市,6,50,16.7,0,0,0,16.7,0,0,0,16.7
区市町村／稲城市,13,61.5,0,0,23.1,7.7,0,0,0,0,7.7
区市町村／羽村市,3,0,33.3,0,33.3,0,0,0,0,33.3,0
区市町村／あきる野市,21,0,0,19,9.5,33.3,14.3,4.8,4.8,0,14.3
区市町村／西東京市,4,75,0,0,0,0,0,0,0,0,25
区市町村／瑞穂町,5,40,0,40,20,0,0,0,0,0,0
区市町村／日の出町,16,12.5,0,37.5,12.5,18.8,12.5,0,0,0,6.3
区市町村／檜原村,1,0,0,0,100,0,0,0,0,0,0
