区分,団体数,団体数／割合(%)
自宅等に入る空き巣,608,58.8
振り込め詐欺や悪徳商法詐欺,589,57.0
自転車などの盗難,536,51.8
すり・ひったくり,442,42.7
子供に対する犯罪,299,28.9
痴漢,260,25.1
自動車内の物などの盗難,254,24.6
落書きされたり、壊されたりする,231,22.3
敷地内に無断で侵入される,140,13.5
暴行・傷害,112,10.8
つきまとわれたり、覗かれたりする,76,7.4
特に感じない,65,6.3
その他,21,2.0
無回答,40,3.9
