区分,等分散性のためのLeveneの検定／F,等分散性のためのLeveneの検定／有意確率,２つの母平均の差の検定／ｔ,２つの母平均の差の検定／ｄｆ,２つの母平均の差の検定／有意確率（両側）,２つの母平均の差の検定／平均値の差,２つの母平均の差の検定／差の標準誤差,２つの母平均の差の検定／差の95％信頼区間／下限,２つの母平均の差の検定／差の95％信頼区間／上限
他への転嫁／等分散が仮定されている,2.131,0.150,-7.450,52,0.000,-1.53265607,0.20573718,-1.94549792,-1.11981423
他への転嫁／等分散が仮定されていない,,,-6.082,20.678,0.000,-1.53265607,0.25200188,-2.05722045,-1.0080917
あきらめ感／等分散が仮定されている,0.014,0.906,-2.765,52,0.008,-0.76380341,0.27619265,-1.31802452,-0.20958231
あきらめ感／等分散が仮定されていない,,,-2.636,27.864,0.014,-0.76380341,0.28970534,-1.35736841,-0.17023841
社会に対する不満／等分散が仮定されている,0.404,0.528,2.249,52,0.029,0.6351914,0.2823872,0.06854,1.2018427
社会に対する不満／等分散が仮定されていない,,,2.094,26.457,0.046,0.6351914,0.3032778,0.012318,1.2580647

