従属・説明変数,万引き／オッズ比,万引き／S.E.,万引き／z,万引き／95%信頼区間,,
教育年数,0.78,0.08,-2.50,"(0.64,0.95)",,
将来の経済的不安,1.41,0.28,1.72,"(0.95,2.07)",,
定数,8.03,10.90,1.53,"(0.56,114.87)",,
R2(Cox&Snell),0.10,,,,,
R2(Nagelkerke),0.13,,,,,
N,100,,,,,
モデルのカイ2乗検定,p<0.01,,,,,

