区分,数量,ある構成比(%),ない構成比(%),無回答構成比(%)
全体,216,52.8,45.8,1.4
15～19歳,40,42.5,57.5,0
20～29歳,34,58.8,41.2,0
30～39歳,47,55.3,44.7,0
40～49歳,25,64,36,0
50～59歳,18,55.6,44.4,0
60～69歳,31,41.9,51.6,6.5
70歳以上,19,57.9,42.1,0
