区分,n(団体数),連携を希望している,連携を希望している／割合(%),連携を希望していない,連携を希望していない／割合(%),,,,,,,,,
警察署,394,372,94.4,22,5.6,,,,,,,,,
防犯協会,392,341,87.0,51,13.0,,,,,,,,,
町会・自治会,432,374,86.6,58,13.4,,,,,,,,,
地元区市町村,357,288,80.7,69,19.3,,,,,,,,,
学校,387,322,83.2,65,16.8,,,,,,,,,
消防署,385,308,80.0,77,20.0,,,,,,,,,
ＰＴＡ,387,303,78.3,84,21.7,,,,,,,,,
商店街,356,183,51.4,173,48.6,,,,,,,,,
東京都,369,247,66.9,122,33.1,,,,,,,,,
地元企業・会社,360,179,49.7,181,50.3,,,,,,,,,
その他,120,50,41.7,70,58.3,,,,,,,,,
