区分,ｎ(団体数),９警察署／連携を希望している(%),９警察署／連携を希望しない(%),ｎ(団体数),１０消防署／連携を希望している(%),１０消防署／連携を希望しない(%),ｎ(団体数),１１その他／連携を希望している(%),１１その他／連携を希望しない(%)
全体,394,94.4,5.6,385,80,20,120,41.7,58.3
区市町村／千代田区,4,75,25,6,66.7,33.3,2,50,50
区市町村／中央区,4,100,0,4,50,50,2,0,100
区市町村／港区,8,100,0,5,100,0,5,100,0
区市町村／新宿区,6,100,0,5,100,0,2,100,0
区市町村／文京区,13,92.3,7.7,10,60,40,7,42.9,57.1
区市町村／台東区,8,100,0,7,71.4,28.6,2,50,50
区市町村／墨田区,14,100,0,12,100,0,2,0,100
区市町村／江東区,17,88.2,11.8,17,82.4,17.6,5,60,40
区市町村／品川区,11,100,0,11,90.9,9.1,1,100,0
区市町村／目黒区,3,100,0,3,100,0,1,100,0
区市町村／大田区,13,84.6,15.4,15,60,40,5,40,60
区市町村／世田谷区,16,93.8,6.3,19,78.9,21.1,4,25,75
区市町村／渋谷区,8,100,0,8,100,0,2,50,50
区市町村／中野区,12,91.7,8.3,13,84.6,15.4,3,0,100
区市町村／杉並区,25,100,0,26,69.2,30.8,12,25,75
区市町村／豊島区,4,100,0,4,100,0,0,0,0
区市町村／北区,2,100,0,3,100,0,0,0,0
区市町村／荒川区,9,100,0,8,75,25,3,33.3,66.7
区市町村／板橋区,17,100,0,15,80,20,3,0,100
区市町村／練馬区,8,100,0,8,87.5,12.5,1,0,100
区市町村／足立区,25,96,4,24,79.2,20.8,7,57.1,42.9
区市町村／葛飾区,5,100,0,5,100,0,0,0,0
区市町村／江戸川区,10,100,0,9,88.9,11.1,4,75,25
区市町村／八王子市,19,94.7,5.3,13,69.2,30.8,5,40,60
区市町村／立川市,8,100,0,9,100,0,2,100,0
区市町村／武蔵野市,3,100,0,4,75,25,1,0,100
区市町村／三鷹市,2,100,0,2,100,0,0,0,0
区市町村／青梅市,7,100,0,7,85.7,14.3,2,0,100
区市町村／府中市,10,100,0,10,100,0,3,33.3,66.7
区市町村／昭島市,6,100,0,7,85.7,14.3,2,0,100
区市町村／調布市,3,100,0,4,75,25,0,0,0
区市町村／町田市,22,90.9,9.1,22,77.3,22.7,8,37.5,62.5
区市町村／小金井市,4,75,25,4,50,50,1,0,100
区市町村／小平市,2,100,0,1,100,0,1,0,100
区市町村／日野市,1,100,0,0,0,0,0,0,0
区市町村／東村山市,11,90.9,9.1,12,83.3,16.7,3,66.7,33.3
区市町村／国分寺市,1,100,0,2,100,0,1,100,0
区市町村／国立市,0,0,0,0,0,0,0,0,0
区市町村／福生市,6,83.3,16.7,4,75,25,2,50,50
区市町村／狛江市,0,0,0,0,0,0,0,0,0
区市町村／東大和市,6,100,0,8,87.5,12.5,3,33.3,66.7
区市町村／清瀬市,4,100,0,4,100,0,0,0,0
区市町村／東久留米市,1,100,0,1,100,0,0,0,0
区市町村／武蔵村山市,2,100,0,2,100,0,0,0,0
区市町村／多摩市,3,66.7,33.3,2,50,50,2,50,50
区市町村／稲城市,9,88.9,11.1,7,57.1,42.9,2,50,50
区市町村／羽村市,1,100,0,1,100,0,0,0,0
区市町村／あきる野市,10,80,20,10,70,30,4,50,50
区市町村／西東京市,1,100,0,1,100,0,1,100,0
区市町村／瑞穂町,3,66.7,33.3,3,66.7,33.3,0,0,0
区市町村／日の出町,6,66.7,33.3,7,57.1,42.9,3,0,100
区市町村／檜原村,1,100,0,1,0,100,1,0,100
