区分,ｎ(団体数),問１(7)活動内容／防犯パトロール(%),問１(7)活動内容／青色回転灯を装備した防犯パトロールカーの運用(%),問１(7)活動内容／子供の安全確保（保護・誘導・見守りなど）(%),問１(7)活動内容／青少年の健全育成(%),問１(7)活動内容／環境浄化活動（落書き対策・清掃活動など）(%),問１(7)活動内容／違法広告物撤去（区市町村から委嘱を受けた活動）(%),問１(7)活動内容／防犯教室・講習会の開催(%),問１(7)活動内容／地域安全マップの作製(%),問１(7)活動内容／防犯チェック(%),問１(7)活動内容／その他(%),問１(7)活動内容／無回答(%)
全体,1034,91.7,14.7,58.8,34.3,37.8,16,23.7,11.7,32.1,11.5,2.6
区市町村／千代田区,13,69.2,0,46.2,38.5,61.5,23.1,15.4,0,46.2,7.7,0
区市町村／中央区,6,83.3,0,33.3,50,16.7,0,33.3,0,0,0,0
区市町村／港区,13,92.3,0,38.5,7.7,53.8,23.1,30.8,15.4,30.8,7.7,0
区市町村／新宿区,17,88.2,17.6,41.2,35.3,58.8,11.8,11.8,17.6,35.3,35.3,0
区市町村／文京区,25,84,4,64,20,20,0,16,4,40,8,0
区市町村／台東区,16,87.5,0,43.8,31.3,25,12.5,12.5,0,31.3,12.5,0
区市町村／墨田区,37,97.3,2.7,48.6,40.5,43.2,24.3,16.2,21.6,56.8,8.1,0
区市町村／江東区,49,95.9,6.1,67.3,44.9,32.7,20.4,24.5,12.2,36.7,6.1,4.1
区市町村／品川区,27,92.6,48.1,63,40.7,59.3,14.8,44.4,14.8,37,14.8,3.7
区市町村／目黒区,7,85.7,0,42.9,14.3,28.6,42.9,14.3,0,71.4,14.3,0
区市町村／大田区,53,94.3,18.9,71.7,39.6,32.1,15.1,24.5,15.1,37.7,17,1.9
区市町村／世田谷区,44,95.5,22.7,65.9,36.4,47.7,15.9,31.8,22.7,29.5,6.8,4.5
区市町村／渋谷区,24,95.8,4.2,41.7,29.2,62.5,29.2,29.2,4.2,29.2,12.5,4.2
区市町村／中野区,32,81.3,28.1,43.8,34.4,37.5,6.3,28.1,12.5,46.9,9.4,3.1
区市町村／杉並区,75,96,5.3,60,25.3,38.7,30.7,12,9.3,21.3,9.3,1.3
区市町村／豊島区,12,91.7,0,66.7,41.7,25,8.3,8.3,8.3,8.3,25,0
区市町村／北区,10,100,0,90,70,40,0,30,0,30,0,0
区市町村／荒川区,26,92.3,7.7,38.5,34.6,23.1,11.5,11.5,15.4,42.3,0,3.8
区市町村／板橋区,46,91.3,10.9,73.9,56.5,47.8,19.6,28.3,4.3,28.3,15.2,0
区市町村／練馬区,22,95.5,36.4,77.3,9.1,31.8,9.1,27.3,22.7,27.3,4.5,4.5
区市町村／足立区,65,93.8,23.1,44.6,30.8,38.5,10.8,18.5,4.6,32.3,10.8,1.5
区市町村／葛飾区,17,82.4,29.4,17.6,35.3,52.9,17.6,23.5,11.8,41.2,5.9,11.8
区市町村／江戸川区,18,83.3,27.8,66.7,50,38.9,11.1,22.2,16.7,11.1,11.1,0
区市町村／八王子市,46,93.5,21.7,56.5,32.6,39.1,19.6,32.6,10.9,37,15.2,4.3
区市町村／立川市,17,70.6,11.8,76.5,11.8,23.5,17.6,17.6,23.5,11.8,0,0
区市町村／武蔵野市,12,91.7,8.3,58.3,50,58.3,16.7,25,8.3,58.3,25,0
区市町村／三鷹市,5,80,0,100,40,40,20,40,40,0,20,0
区市町村／青梅市,17,76.5,5.9,64.7,35.3,35.3,0,5.9,17.6,23.5,0,11.8
区市町村／府中市,21,90.5,19,52.4,19,47.6,14.3,28.6,19,38.1,19,9.5
区市町村／昭島市,17,100,29.4,52.9,29.4,29.4,5.9,29.4,0,41.2,11.8,0
区市町村／調布市,19,84.2,0,52.6,31.6,21.1,26.3,21.1,21.1,21.1,15.8,5.3
区市町村／町田市,60,96.7,10,68.3,46.7,50,10,30,11.7,30,11.7,0
区市町村／小金井市,10,80,0,50,30,10,0,10,20,10,10,20
区市町村／小平市,4,75,0,25,50,50,0,50,0,75,0,0
区市町村／日野市,3,100,66.7,66.7,66.7,100,0,66.7,0,0,33.3,0
区市町村／東村山市,24,100,12.5,66.7,16.7,33.3,8.3,16.7,12.5,37.5,16.7,0
区市町村／国分寺市,5,100,20,80,20,40,40,20,20,40,0,0
区市町村／国立市,2,50,50,50,0,0,0,0,0,0,0,50
区市町村／福生市,11,100,0,45.5,45.5,27.3,54.5,36.4,9.1,27.3,18.2,0
区市町村／狛江市,2,100,0,100,0,0,50,100,0,50,50,0
区市町村／東大和市,15,80,13.3,60,40,26.7,26.7,33.3,13.3,26.7,20,13.3
区市町村／清瀬市,10,70,20,70,30,10,10,10,20,40,10,0
区市町村／東久留米市,1,100,100,0,100,0,100,100,0,100,0,0
区市町村／武蔵村山市,10,90,20,80,30,50,20,60,0,10,10,0
区市町村／多摩市,6,100,16.7,33.3,16.7,33.3,16.7,33.3,16.7,0,16.7,0
区市町村／稲城市,13,100,30.8,84.6,46.2,53.8,15.4,23.1,23.1,30.8,15.4,0
区市町村／羽村市,3,100,66.7,100,0,0,0,33.3,0,33.3,0,0
区市町村／あきる野市,21,95.2,23.8,66.7,19,9.5,0,14.3,4.8,9.5,19,4.8
区市町村／西東京市,4,100,50,75,75,50,50,75,0,50,0,0
区市町村／瑞穂町,5,100,0,40,20,0,20,0,0,20,20,0
区市町村／日の出町,16,100,0,43.8,18.8,6.3,0,12.5,6.3,31.3,6.3,0
区市町村／檜原村,1,100,0,100,100,0,0,0,0,100,0,0
