区分,数量,シティサイクル（日常用自転車、ママチャリと呼ばれるタイプもこれに含む）構成比(%),電動アシスト自転車構成比(%),クロスバイク（マウンテンバイクとロードレーサーの中間の自転車）構成比(%),マウンテンバイク（オフロード用自転車）構成比(%)
全体,216,85.2,6.5,4.6,4.2
15～19歳,40,87.5,5,5,10
20～29歳,34,85.3,-,8.8,5.9
30～39歳,47,80.9,10.6,2.1,2.1
40～49歳,25,92,4,-,-
50～59歳,18,88.9,5.6,5.6,5.6
60～69歳,31,80.8,12.9,9.7,3.2
70歳以上,19,94.7,5.3,-,-
