区分,ｎ(団体数),問１４居住する地域で不安を感じる場所について／自宅周辺(%),問１４居住する地域で不安を感じる場所について／通勤や買い物など日常的に使う生活道路(%),問１４居住する地域で不安を感じる場所について／学校(%),問１４居住する地域で不安を感じる場所について／通学路(%),問１４居住する地域で不安を感じる場所について／公園(%),問１４居住する地域で不安を感じる場所について／駐車場や駐輪場(%),問１４居住する地域で不安を感じる場所について／駅周辺(%),問１４居住する地域で不安を感じる場所について／公共交通機関の中(%),問１４居住する地域で不安を感じる場所について／繁華街(%),問１４居住する地域で不安を感じる場所について／ゲームセンター・映画館など娯楽施設(%),問１４居住する地域で不安を感じる場所について／大型商業施設（スーパー・デパート等）(%),問１４居住する地域で不安を感じる場所について／工事現場(%),問１４居住する地域で不安を感じる場所について／空き地・廃屋(%),問１４居住する地域で不安を感じる場所について／河川敷(%),問１４居住する地域で不安を感じる場所について／アダルトショップや風俗店などがある環境(%),問１４居住する地域で不安を感じる場所について／特になし(%),問１４居住する地域で不安を感じる場所について／その他(%),問１４居住する地域で不安を感じる場所について／無回答(%)
全体,1034,9.2,20.6,3.2,22.1,43.4,23.1,16.9,2.6,13.6,12.5,5.6,5.6,27.3,10.4,8.6,16.4,3.4,4.6
区市町村／千代田区,13,7.7,15.4,15.4,15.4,30.8,23.1,38.5,23.1,15.4,15.4,0,0,7.7,0,53.8,23.1,0,7.7
区市町村／中央区,6,0,16.7,0,33.3,16.7,16.7,0,0,16.7,0,16.7,0,0,0,0,33.3,0,16.7
区市町村／港区,13,7.7,15.4,7.7,0,15.4,7.7,7.7,0,15.4,0,0,15.4,38.5,0,0,23.1,7.7,15.4
区市町村／新宿区,17,5.9,0,5.9,23.5,35.3,11.8,17.6,0,35.3,5.9,0,17.6,17.6,0,11.8,11.8,0,0
区市町村／文京区,25,0,16,4,16,28,8,8,0,12,4,4,8,20,0,0,36,8,8
区市町村／台東区,16,6.3,6.3,6.3,12.5,25,18.8,37.5,12.5,25,6.3,0,6.3,18.8,0,18.8,18.8,6.3,0
区市町村／墨田区,37,2.7,18.9,2.7,13.5,32.4,18.9,18.9,0,16.2,18.9,8.1,2.7,13.5,13.5,16.2,18.9,2.7,5.4
区市町村／江東区,49,14.3,16.3,2,12.2,49,30.6,10.2,6.1,22.4,22.4,16.3,12.2,22.4,30.6,18.4,20.4,2,0
区市町村／品川区,27,11.1,22.2,0,25.9,40.7,22.2,7.4,3.7,0,3.7,14.8,0,33.3,7.4,7.4,7.4,11.1,3.7
区市町村／目黒区,7,14.3,28.6,0,0,28.6,14.3,28.6,14.3,14.3,28.6,0,0,28.6,14.3,14.3,28.6,14.3,0
区市町村／大田区,53,13.2,28.3,5.7,32.1,54.7,22.6,17,1.9,18.9,18.9,3.8,7.5,37.7,17,5.7,11.3,5.7,5.7
区市町村／世田谷区,44,6.8,15.9,4.5,25,38.6,20.5,15.9,4.5,11.4,4.5,2.3,4.5,45.5,6.8,2.3,13.6,6.8,0
区市町村／渋谷区,24,16.7,12.5,4.2,12.5,25,41.7,4.2,4.2,20.8,8.3,4.2,16.7,25,0,8.3,16.7,4.2,8.3
区市町村／中野区,32,12.5,25,0,15.6,37.5,9.4,6.3,0,18.8,25,3.1,0,28.1,3.1,12.5,25,0,3.1
区市町村／杉並区,75,8,26.7,2.7,28,48,18.7,18.7,2.7,8,10.7,0,5.3,30.7,5.3,12,12,5.3,5.3
区市町村／豊島区,12,8.3,16.7,0,16.7,50,25,25,0,33.3,8.3,0,16.7,16.7,0,16.7,16.7,8.3,0
区市町村／北区,10,10,10,10,40,60,70,30,0,30,20,20,40,50,20,10,0,0,0
区市町村／荒川区,26,7.7,7.7,0,11.5,34.6,19.2,11.5,7.7,15.4,11.5,3.8,3.8,26.9,3.8,3.8,30.8,3.8,11.5
区市町村／板橋区,46,6.5,10.9,2.2,13,45.7,30.4,10.9,0,6.5,4.3,4.3,10.9,19.6,2.2,4.3,21.7,2.2,4.3
区市町村／練馬区,22,22.7,13.6,4.5,22.7,54.5,27.3,13.6,0,4.5,4.5,4.5,0,45.5,13.6,0,13.6,4.5,13.6
区市町村／足立区,65,7.7,18.5,1.5,20,52.3,26.2,20,3.1,7.7,7.7,6.2,4.6,23.1,15.4,4.6,15.4,3.1,6.2
区市町村／葛飾区,17,23.5,29.4,5.9,11.8,58.8,35.3,23.5,0,17.6,5.9,5.9,5.9,23.5,5.9,5.9,17.6,0,0
区市町村／江戸川区,18,5.6,38.9,5.6,5.6,66.7,38.9,33.3,0,16.7,16.7,11.1,5.6,22.2,16.7,11.1,5.6,0,0
区市町村／八王子市,46,6.5,15.2,0,26.1,43.5,13,15.2,0,17.4,15.2,4.3,2.2,30.4,19.6,10.9,10.9,2.2,4.3
区市町村／立川市,17,17.6,29.4,0,47.1,58.8,41.2,35.3,0,41.2,35.3,17.6,5.9,17.6,11.8,52.9,11.8,0,0
区市町村／武蔵野市,12,8.3,0,8.3,16.7,16.7,25,33.3,0,8.3,16.7,0,8.3,8.3,0,16.7,16.7,0,0
区市町村／三鷹市,5,20,60,0,20,40,40,20,20,20,0,0,20,40,0,0,0,0,0
区市町村／青梅市,17,5.9,17.6,0,23.5,23.5,17.6,5.9,0,0,23.5,0,5.9,35.3,0,5.9,23.5,0,5.9
