区分,構成比(%)
ダイナモ式（従来型・こぐと重く感じるタイプ）,52.8
ハブダイナモ式（自動点灯型・暗くなると自動的にライトが付くタイプ）,31.0
着脱式,19.0
その他,2.3
無回答,1.9
