区分,ほぼ毎日構成比(%),週に2～3回構成比(%),週に1回位構成比(%),月に数回構成比(%),ごくたまに通る構成比(%),通らない構成比(%),,
自転車（n=283）,30.0,23,14.1,10.6,15.2,7.1,,
歩行者（n=313）,48.9,24.3,9.3,9.3,7.7,2.9,,
自動車（n=66）,24.2,30.3,12.1,15.2,15.2,3.0,,
