区市町村,条例名称,対象車両／自転車,対象車両／原付,対象車両／自二,放置禁止区域の名称,附置義務,助成
千代田区,東京都千代田区自転車等の放置防止及び自転車駐車場の整備に関する条例,○,○,-,放置禁止区域,-,-
中央区,東京都中央区自転車の放置防止に関する条例,○,-,-,放置禁止区域,努力義務,-
港区,東京都港区自転車等の放置防止及び自転車等駐車場の整備に関する条例,○,○,-,放置禁止区域,義務付／立入検査／措置命令,-
新宿区,新宿区自転車等の適正利用の推進及び自転車等駐輪場の整備に関する条例,○,○,○,放置禁止区域,義務付／立入検査／措置命令,-
文京区,文京区自転車等の放置防止に関する条例,○,○,-,放置禁止区域,努力義務,-
文京区,文京区自転車駐車場条例,○,○,-,-,-,-
台東区,東京都台東区自転車等の放置防止及び自転車等駐車場の整備に関する条例,○,-,-,指導整理区域,努力義務,-
墨田区,墨田区自転車の利用秩序及び自転車駐車場の整備に関する条例,○,-,-,放置禁止区域,義務付／立入検査／措置命令／公表／罰金[10万円]、[3万円],-
江東区,江東区自転車の放置防止及び自転車駐車場の整備に関する条例,○,○,-,放置禁止区域,義務付／立入検査／措置命令／罰金[10万円]、[3万円],-
品川区,品川区自転車等の放置防止および自転車等駐車場の整備に関する条例,○,○,○,放置禁止区域,義務付／立入検査／措置命令,-
目黒区,目黒区自転車等放置防止条例,○,○,-,放置禁止区域,義務付／立入検査／措置命令／公表,○
目黒区,目黒区立自転車等駐車場条例,○,○,○,-,-,○
大田区,大田区自転車等の放置防止及び自転車等駐車場整備に関する条例,○,○,○,放置禁止区域,義務付／（新築分）／立入検査／措置命令／公表,○
世田谷区,世田谷区自転車条例,○,○,-,放置禁止区域,義務付／立入検査／措置命令／公表,○
世田谷区,世田谷区立レンタルサイクルポート条例,○,-,-,-,-,○
渋谷区,渋谷区自転車等の放置防止等に関する条例,○,○,-,放置禁止区域,努力義務,-
中野区,中野区自転車駐車場条例,○,○,-,放置規制区域,義務付／立入検査／措置命令／公表／罰金[10万円]、[3万円],○
中野区,中野区自転車等放置防止条例,○,○,-,放置規制区域,義務付／立入検査／措置命令／公表／罰金[10万円]、[3万円],○
杉並区,杉並区自転車の放置防止及び駐車場整備に関する条例,○,-,-,放置禁止区域,義務付／立入検査／措置命令／罰金[10万円]、[3万円],○
杉並区,杉並区自転車駐車場条例,○,○,-,-,-,
豊島区,豊島区自転車等の放置防止に関する条例,○,○,-,放置禁止区域,義務付／立入検査／措置命令／公表,-
豊島区,豊島区立自転車等駐車場条例,○,○,-,放置禁止区域,義務付／立入検査／措置命令／公表,-
北区,東京都北区自転車の放置防止に関する条例,○,-,-,整理区域,努力義務,○
北区,東京都北区自転車等駐車場条例,○,○,-,-,-,
荒川区,荒川区自転車等の放置防止及び自転車等駐車場の整備に関する条例,○,○,-,放置禁止区域,義務付／立入検査／措置命令／公表,○
荒川区,荒川区自転車等駐車場条例,○,○,-,放置禁止区域,義務付／立入検査／措置命令／公表,○
板橋区,自転車等の駐車場の整備及び放置の防止に関する条例,○,○,○,放置禁止区域,義務付／立入検査／措置命令／公表,○
練馬区,練馬区自転車の適正利用に関する条例,○,○,-,放置禁止区域,義務付／立入検査／措置命令／公表,-
練馬区,練馬区立ねりまタウンサイクル条例,○,-,-,-,-,-
練馬区,練馬区立自転車駐車場条例,○,○,-,-,-,-
足立区,足立区自転車等の駐車秩序及び自転車等駐車場の整備に関する条例,○,○,-,放置禁止区域,義務付／立入検査／措置命令／罰金[10万円]、[3万円],○
葛飾区,葛飾区自転車駐車場及び自転車置場条例,○,-,-,整理区域,義務付／立入検査／措置命令／罰金[10万円]／公表,○
葛飾区,葛飾区自転車の安全利用及び駐車秩序に関する条例,○,-,-,整理区域,義務付／立入検査／措置命令／罰金[10万円]／公表,○
江戸川区,江戸川区自転車等の駐車秩序に関する条例,○,○,-,放置禁止区域,努力義務,-
江戸川区,江戸川区自転車駐車場条例,○,○,○,放置禁止区域,努力義務,-
八王子市,八王子市自転車等の放置の防止に関する条例,○,○,-,自転車等放置禁止区域,義務付,-
立川市,立川市自転車等放置防止条例,○,○,○,放置禁止区域,義務付,-
立川市,立川市自転車等駐車場条例,○,○,○,放置禁止区域,義務付,-
武蔵野市,武蔵野市有料自転車駐車場条例,○,○,-,放置禁止区域,義務付,○
武蔵野市,武蔵野市自転車等の適正利用及び放置防止に関する条例,○,○,-,放置禁止区域,義務付,○
三鷹市,三鷹市自転車等の放置防止に関する条例,○,○,-,放置禁止区域,義務付,○
青梅市,青梅市自転車等の放置防止に関する条例,○,○,-,自転車等放置禁止区域,努力義務,-
青梅市,青梅市有料自転車等駐車場条例,○,○,○,-,-,-
府中市,府中市自転車の放置防止に関する条例,○,-,-,放置禁止区域,義務付,-
府中市,府中市立自転車駐車場条例,○,○,○,-,-,-
昭島市,昭島市自転車等の放置防止等に関する条例,○,○,-,自転車等放置禁止区域,義務付,-
昭島市,昭島市自転車等駐車場条例,○,○,-,自転車等放置禁止区域,義務付,-
調布市,調布市自転車等の駐車対策の総合的推進に関する条例,○,○,-,放置禁止区域,義務付,○
調布市,調布市立自転車等駐車場の設置及び管理に関する条例,○,○,-,-,-,○
町田市,町田市自転車等の放置防止に関する条例,○,○,-,放置禁止区域,義務付／立入検査,○
町田市,町田市自転車等駐車場条例,○,○,-,放置禁止区域,努力義務,○
小金井市,小金井市自転車等の駐車秩序に関する条例,○,○,-,放置禁止区域,努力義務,○
小金井市,小金井市有料自転車駐車場条例,○,○,-,放置禁止区域,努力義務,○
小平市,小平市自転車等の放置防止に関する条例,○,○,-,放置禁止区域,努力義務,○
日野市,日野市自転車等の駐車秩序の確保に関する条例,○,○,-,放置禁止区域,義務付／立入検査,-
東村山市,東村山市有料自転車等駐輪場条例,○,○,-,放置禁止区域,努力義務,-
東村山市,東村山市自転車等の放置防止に関する条例,○,○,-,放置禁止区域,努力義務,-
