区分,ほぼ毎日構成比(%),週に2～3回構成比(%),週に1回位構成比(%),月に数回構成比(%),ごくたまに通る構成比(%),通らない構成比(%),,
自転車（n=283）,26.5,18.4,14.1,11.0,19.8,10.2,,
歩行者（n=311）,20.3,23.2,16.1,8,17.7,14.8,,
自動車（n=66）,9.1,27.3,24.2,13.6,19.7,6.1,,
