区分,数量,はい構成比(%),いいえ構成比(%),無回答構成比(%)
全体,368,64.9,32.1,3
15～19歳,59,66.1,33.9,0
20～29歳,69,58,42,0
30～39歳,84,58.3,41.7,0
40～49歳,42,69,28.6,2.4
50～59歳,27,55.6,44.4,0
60～69歳,49,79.6,12.2,8.2
70歳以上,36,77.8,8.3,13.9
